a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
0.1347534595435291723537837951104027908119537881238734442733283895025243421634825 - 3.054416317861685725166290770739995428408019629549006015085951394593149854407014im,0.5131557795249168241181576175328999142344299109710577565262963939491457607849674 + 2.348494535448547276453206170414695821902287482962949054663670974492998369178332im,0.2184010843776221365955486822403212346187543412955527568924508543227368391893123 - 0.1089766832799190492435872731394648577378152054494727726551998432695325972269944im,3.050194172526657404100145408547641650920494729087113920429677370975064906901353 - 0.6082930247851809186496792511268766520800402767420370123010376700332578035337444im,-2.321422577267407289007013132856739337667818085498730587375535757421618509410921 - 3.108907792322104737936456033115686365443567592127509633711336553381748652233352im,1.412402025083126870167672927923072452571571015951573013574017269829576370522977im - 3.162435939574990726720391198843834796625431508923287490620376432316689170774265,-5.970074062537054265374522449342929353839470539572989633036213978830421023746496 - 9.520156466850038497575596481036065763668795961991181294254790005242085582610374im,9.694401173619896137384551276967976274035796575323064411271634199330712013466406im - 16.91790342266285678380832587799939257549633252607187396156524824913768043919686,10.73747375086702277877927446619119471279603322521888572550468462523150345390015 + 9.781306357494308769210095203875220950270259119395231556345460896264946269355649im,0.0008283192576958285594998701388999595455812906279003451600153709502458606338009345im - 0.0008739457730913750001952978973552866004022296039253929419544950500833605443841026
2.577825395230180095256047189793891819412114998282392763198071599197206602825861 + 1.643908078143377731564143596520568121858183610781943746400411926750221469360677im,-2.290433818109834228233276214458572724373291794218584324628660920726355785483117 - 0.7298413265568891718086862790630665663918770725364294825921215047115204472594693im,-0.2035771183293918466872274105773619322883128731248705782443185069575125827620837 - 0.1346525456451299414859990891609571032751665474721392854571940911805248123058795im,-2.051894298672172552749870631878135691026090731450196612652906374723352332922715 - 2.33739912749074973636732815206501285335448395945607427532424339720857476032045im,3.564864820993370990274063599853702763327478889332732829807917818184176890032527im - 1.531681837540634838498468111270231025521121037041297717601374397671741954097511,2.804394003866069152839833456853587073690042904985137720187758998820747546182602 + 2.032548848971288526662622336541201447486445027294336137485887641469819638482294im,-5.970074062537054265374522449342929353839470539572989633036213978830421023725355 - 9.52015646685003849757559648103606576366879596199118129425479000524208558260761im,9.694401173619896137384551276967976274035796575323064411271634199330712013423156im - 16.91790342266285678380832587799939257549633252607187396156524824913768043919658,10.73747375086702277877927446619119471279603322521888572550468462523150345386325 + 9.781306357494308769210095203875220950270259119395231556345460896264946269354129im,-0.0002803726330627689171573830117562453347022723203905947827320012970275451629761581 - 0.001171018869875075709706867086035064713012802035888806944312618104577864433796834im
0.23449878641228041254523649399757121184425469388810932547288741351124901292643im - 1.266807915521746335843352738298633407767868034476361719348589150950951077613893,2.089079240516971385435543581361493520424850565202098598279261425385535951447524 - 0.3619601512220965697746316135507926386675708636298074534783789817387516077847906im,0.3679084315085540103485666008544617560033350008605026913533346804400379965977022 + 0.741586396985802489524707613278594234144837887255515708466824145311980447648089im,1.152160692220542717791310507519939348002690506736779501224518597045252893794489im - 0.4935032837177890161229430912831755470859380039551802854890961918358025766489839,-0.1644376579907660138667878518863292348576194164418146009454941401981251656226216 - 0.1124301116315768363944686249304673832167627364819459672838043214584396584817597im,0.04386301066149519644026507491552234068377932890710008454671934913122390077106467im - 1.653226873566486076526161377110057324171546171470604568228087012160992665749289,1.095323521166679445659937669369066615741013273545026902528846535945332334408084 + 0.6204421466952258057999123492972691777008559500452481085983939489923749073089012im,1.766245968877807618582703691307909679298643950774458890747040464042694219100717im - 0.07404878978468288425218240203362126798198511386379642772468372010420536887905767,0.296950719028168516352907174047946148934362585770627631788076203399177459692826im - 0.5947207345393053500586895584019258536076315164886170870397557596573398867850796,7.804968369954461567442625481259414856360686915064579094483440220463714287878637 + 14.40907042164418242078794579375552007047379515544991459428088407868466249073291im
0.4303220515712171888171970774189539401561792783575881551536945105947722066814817 - 1.214337229763183618996582784276619860015407621479038445212544588118560970647301im,1.990175768417446849711920362481606136887116185552084990326895258831441373538397im - 0.7310729341424930371667247955260728951140248285840038615321997171406775192349741,0.458278443136399610804682989418965422357744272073014327912889357614856709956334 - 0.6894112464457962216672714067707743972650119088656056513538533297070411016844334im,1.244552070563748354375243577823624200915370197617275918954228306388962080308696 - 0.1486939655596267398857738110463024438975996263894630926308151429248797442862082im,0.198622244974608979546195272182971277784743853513633793836163460487680736880473im - 0.01514850382788283495435929766271416787867851936384662508900662993815399437073533,0.8645999183025655530691114692978415995879308793090155376567777322410119670015883 + 1.4098049653969536049912404078992058981355156792927068723860623122502996489361im,1.095323521166679445659937669369066615741013273545026902528846535945332334410088 + 0.6204421466952258057999123492972691777008559500452481085983939489923749073084175im,1.766245968877807618582703691307909679298643950774458890747040464042694219102099im - 0.07404878978468288425218240203362126798198511386379642772468372010420536888091336,0.296950719028168516352907174047946148934362585770627631788076203399177459693193im - 0.5947207345393053500586895584019258536076315164886170870397557596573398867838446,-16.38110521504004548996746157616932713336786453056239149247469938645704732304241 - 0.4452343267075067136407213803402782809897353194843488236435270463829463597191227im
0.8364858639505291470261556608796794676116887561187735641948946403561788709327828 + 0.9798384433509032064513462902790486481711529275909291197396571746073119577203308im,-1.358006306374478348268818785835420625310825736618094736747061708244858432213275 - 1.628215617195350279937288748930813498219545321922277536848516277092689765753537im,-0.8261868746449536211532495902734271783610792729335170192662240380548947065540881 - 0.05217515054000626785743620650781983687982597838991005711297081560493934596247833im,-0.7510487868459593382523004865404486538294321936620956334651321145531595036595783 - 1.003466726660915977905536696473636904105090880347316408593703454120373149508134im,0.1795861618186488488211471495490434027362979358056612260345007701362791599904537 - 0.08619213334303214315172664725250389456798111703168782655235913902924107839915479im,0.7886269552639205234570499078122157245836152921615890305713092799199806987493329 - 1.45366797605844880143150548281472823881929500819980695693278166138152354970786im,1.095323521166679445659937669369066615741013273545026902528846535945332334409915 + 0.6204421466952258057999123492972691777008559500452481085983939489923749073093416im,1.766245968877807618582703691307909679298643950774458890747040464042694219101131im - 0.07404878978468288425218240203362126798198511386379642772468372010420536888106342,0.2969507190281685163529071740479461489343625857706276317880762033991774596931671im - 0.5947207345393053500586895584019258536076315164886170870397557596573398867844146,8.576136845085583922524836094909912277007177615497812397991259165993332977639636 - 13.96383609493667570714722441341524178948405983596556577063735703230171635036im
19.31311449823372652270526166846555081309764467065184735463044189286706626191721 - 33.45129556333591840360983950672819699379307519380448221750277811840155391276274im,34.95245714187063926314350949968970094904993848288957125948376541548463030782842im - 20.17981053969787114877834428402225864419830388963035792714342867293986438873448,0.4756735007415610415670587100798766252244475254229840753313251544678095891777096 + 0.8238906710985357541905695690485854178575506578619746264340496828230777801679782im,-6.336118172677652640318740012133972331758906616327654580534655991245826231288474 - 10.97447859783816736407268632038636519945912195925432493863927370398264379075615im,-6.217615633191462920412696318819417198728277614286074703360349798859265326030186 - 10.76922617862214969041528642754790517792005267439679511300262130255005502251806im,-5.766603176745909215165913832903416339489838500335350735535968061619758065022342 - 9.988049689212005298110844824810936331501506566725512765497072413531536109745692im,1.292836454796095664673844815187266168862828081328937306488561751819104550275516 - 7.580796200837428287132049723360825059316083184661325116976809280734025327202103e-76im,9.349768999350198983438238898105735229922246475152482078384325801654206672463984e-75im - 19.48856343578428416317158871135499761966374574492695436988552455675397825857113,1.501875700749292775735360463663484038099523688275001171094100135305932674946179e-74im - 20.21242127456295920250778561153268689688416846301564296894548693285479205480733,2.271537519809270686389936893019247836215631357198785436629040871761454177299891e-09im - 1.311472798536217298286093350342514342184048092139710452443830510760632562789934e-09
-38.62622899646745304541052333693110162619528934130369470926088378573413252243494 - 2.480849103396629823300114960021167381544521957296105129547096813114543251196982e-13593im,40.35962107939574229755668856804451728839660777926071585428685734587972877610542 + 2.423254669085025371824762577117966619898408216166188896088770538626785754667495e-13593im,-0.9513470014831220831341174201597532504488950508459681506626503089356191783411868 - 3.092357395498902025916092404845236261305130349800521192924664257345403208863073e-13595im,12.67223634535530528063748002426794466351781323265530916106931198249165246239483 + 3.877599265387552981623028639914434161197129797638581967307883453434090489658392e-13594im,12.4352312663829258408253926376388343974565552285721494067206995977185306518748 + 3.845467197975046374590556731505939919639127673489499720708170515116429319028897e-13594im,11.53320635349181843033182766580683267897967700067070147107193612323951612988454 + 3.460420424189948000357892956235407563266053536589881682251499216165226287559267e-13594im,1.292836454796095664673844815187266168862828081328937306488561751819104550286846 - 1.12715878591060705793142339075889154405434912095863507406775101170005272178159e-13595im,4.701925478395950397566096724088014683537878997944504866737865653458036890712296e-13595im - 19.48856343578428416317158871135499761966374574492695436988552455675397825860152,3.009689347903744790819226269544156738600829058031780930938281144048379439094019e-13595im - 20.21242127456295920250778561153268689688416846301564296894548693285479205484713,2.622945597072434596572186700685028684368096184279420904887661021521265092012002e-09 - 1.572060100568796262668707076513638930461170445919487385894764545566441507991155e-13594im
19.31311449823372652270526166846555081309764467065184735463044189286706626210927 + 33.45129556333591840360983950672819699379307519380448221750277811840155391187397im,-20.17981053969787114877834428402225864419830388963035792714342867293986438892241 - 34.95245714187063926314350949968970094904993848288957125948376541548463030696066im,0.4756735007415610415670587100798766252244475254229840753313251544678095891670266 - 0.8238906710985357541905695690485854178575506578619746264340496828230777801646792im,10.9744785978381673640726863203863651994591219592543249386392737039826437907118im - 6.336118172677652640318740012133972331758906616327654580534655991245826231152644,10.76922617862214969041528642754790517792005267439679511300262130255005502247688im - 6.217615633191462920412696318819417198728277614286074703360349798859265325888553,9.988049689212005298110844824810936331501506566725512765497072413531536109706311im - 5.766603176745909215165913832903416339489838500335350735535968061619758064894942,1.292836454796095664673844815187266168862828081328937306488561751819104550279609 + 6.574949554089903415069885823215005940050834153290504554256058298120911341516477e-75im,-19.4885634357842841631715887113549976196637457449269543698855245567539782585808 - 2.306864751208538822290197701465900021543468630054883884593784853034092008807785e-74im,-20.2124212745629592025077856115326868968841684630156429689454869328547920548018 - 9.993002505800295061771391500021022642263879739102667668183375355388299122401184e-75im,-1.311472798536217298286093350342514342184048092139710452443830510760639506179109e-09 - 2.271537519809270686389936893019247836215631357198785436629040871761435336121418e-09im
0.890437423211809021903862031866673108512701573850362161697575850801221625567571im - 1.779982337914417582194370473824820191946705726251576475833749069180546974763763,1.172434084826831340230882560217645051594154216131326498797614988056193331790969 - 1.132510291376834448893670587184098891245951234063377838193282256815971817882499im,0.4268097608273889739846438794242128038605572642981872048668364049200462621343599im - 0.07993862507803407640998410324337357989017455156569881094490940258504247676419012,1.061359208481613249793873133257795923754302739703679416873463183253749303806274im - 0.13226319540142750683486600234156776963319226555075667805724142194052279624004,0.5515452523562290793974137973436769114150856169552988943686994331946758984423978im - 0.9289479400935691320663095003051706315893982295227084802387305315368608670705346,1.153789051483448248431505234789274808594032002563123246089434626383291868390584 - 0.4384019063545681974133187124577584823295911827007205952507142897079479468443157im,-2.052004748923709186891752506046007741055876810066860477314277275647575971474754 - 1.003491527953303755517789193677101440730716971898025250046070535377699860834162im,0.1734990432159382483932134546708351850508611902213319771207201937449122709366118im - 2.329566878277370000309506666186382455699049932609701365601227750788866551174846,-0.8211558735706146943094863488812434421542293509525031369558265766259111743129951 - 0.1143124608034728043250127835382505179338801553520801829580507046571159429598753im,30.00597153196196434309749967022735655991874829870871161138816287974764709079118 + 10.2939049160963267372771254744262065732649824699503435765597901532246405502521im
0.1188497399754268012518091609434288777598492741531300558488748071690702279938624 - 1.986728634527407113499010276910146388432060639955854575030242183412657197472702im,0.3945656399662396487656165358034881514724074332166086541510793834936134153521924 + 1.581612847411212628004539273614050689480681037627990374774870690700907865785514im,0.4095974079986962590467851334267632033542192611635524019485118449864644323856412 - 0.1441760003525171726412669880260353540145197294401689413851666217067424824388357im,0.9852956347863350673918446819046092318991497001451526221517053348797201736040214 - 0.4161363170374652594976447956054513744560988978373739887569984788064812715891227im,0.9421261699239779654658955688064648366791815647584379939906215754738558168966479 + 0.5287198887361411906483265585908358009482586069522777495697459853433290215375857im,-0.9565617137123067064310194795971158735068773809467583966082204856822845232660802 - 0.7800096760157336406673549508157555089237035706403350732065027035519703292450548im,-2.052004748923709186891752506046007741055876810066860477314277275647575971474719 - 1.003491527953303755517789193677101440730716971898025250046070535377699860835406im,0.1734990432159382483932134546708351850508611902213319771207201937449122709369961im - 2.329566878277370000309506666186382455699049932609701365601227750788866551174915,-0.8211558735706146943094863488812434421542293509525031369558265766259111743143078 - 0.1143124608034728043250127835382505179338801553520801829580507046571159429614859im,20.83898115386356788562712443569992178125881830359463823842687851584402572602425im - 23.91776892746192156331588740009879021695555149819220033913068257974039190441299
