a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
0.580868940468517260761556105119155506538725469634411718594198223225274533964613 - 1.009089529489627102269311935644810650644572542520156172342861229123381202296169im,7.108421308190360156540998823207211584866565822406862226629870859610865626599516 - 7.591006464102488264063295330757300359633224984941524699110453032266187223263048im,0.1956824335556907776323934540266766354371656569808449294407812982016194495016128 + 0.02352900294372560821411676743925392737794849467177318212237058352057597190953516im,5.23445512896897331141736383048715084905003791569253067084757722108238225594598 - 2.660537853728646844767125820766188626410912471142405113062427322613008886205805im,6.60080492649479818467982369163361767709184957581598540603563145995482026586216im - 2.827650058623480760589433120056419091506379721800202835456174512560898468886331,-11.07432628821455207025266528855363147298995558808319898122924138436186377368958 - 7.051048495316916449729426361720190828031091655486274083470667389065413859778319im,8.31747708493054121134555622621714836615773995358647866452225915680830626414019im - 18.79549944152937691455735588848077526320362265150784770869505681820520032339579,42.62664724794059253038872243458927286660342639702959025263308237954840071235826im - 12.83881413054203506281496520829737386411665215921398300121839149738715932238221,11.7129244191706802599250596541178539624810152757905066790988788213371651411281im - 4.088605145400291804876785749646277672957741512475214991667874920020730807426219,6.363046493655422745727926062858239589870320536285501590808145862271449340996781e-10 + 2.835007011333412758593944449702507438732771926095031611388767099264690503114755e-10im
-0.3525556634239380583436722958004498126739420411751088799458497470067669888876493 - 1.843720638656133221443923234666209129988955561156085753844866202190958639408665im,0.4955877355040872266100277173930416437859402158788080093481504605183766206841403 + 2.147534753643004223003251996660213429086134087187302012835646022184862416900005im,0.2930522403456905913207665864675870398354858198196815392827247610901014784030996 + 0.4647522118230069332294301777698861958531584550763651308269461901908176616336497im,-1.253179298835803211580207412336213783223363073720517702931099078757221897698035 - 0.6947616050760200513928294343097434476680595314565198494967680231698846032325621im,0.2598211028187272051737852477621670519119227848372174704092341314502923079414446 + 0.689488558190350797830889063349048465184570428604411375878981704474046825807137im,0.134194566808929415498173633314092289204363531117156315904312511436559880895563im - 0.1098293150262516421095390109190444754470251700102906718244024111298314041767073,1.379071098570688160710069377333410757954587495035376161217666113000715078785731 + 0.2606179258626143778574893701978653597788947008238726720868912692535806595474216im,0.4251961250658950954412839507380223620591359399575518700204413602645420191519015im - 1.541017024429280339371737385586310578505513135489497697242370610529003563132838,1.617521397294945639912181116133928478260338191856750513631187908370715386877031 - 1.269972105547031685748584275640568999411083322182548620019940603667316442144178im,0.515029031380106218670592379060528613640497273247679092390346406708007193025447 - 0.2121976340475305131238377036452649320436394507747427995653396202740218249011399im
1.227182480101273215071238553415638563463641935166219535123960379036690317761581im - 1.420431078845911845148590289264822317954165936344338979222657202911982237254823,1.612025784412754093077863173441009071749888434768980281381751751807311668974844 - 1.50295894557204483266525172437990000896163770145376953813277762118453063949172im,0.02141457886380758989501098201324715710149914818222442678717633796462151972360555im - 0.5490133420765758358050814375763345605548266949010966646215468756313821042421818,1.228270848987786569742884960455963299245602316387214220314168867165842838477694 - 0.7379043057505661547720975891804353889233358576117977769352440249922881312347429im,-0.7270251584209125745356692287907231647961748247314533313185995715092642142693763 - 0.1197326036148690208119729287027073828153844883349548229198304722651917930805494im,-0.06130124639325510439123139255937980548992171162840980493171233785174013043235681 - 0.1622122602974426009405915940375884048543767119810966663725183517081713500253113im,1.379071098570688160710069377333410757954587495035376161217666113000715078786163 + 0.2606179258626143778574893701978653597788947008238726720868912692535806595474993im,0.4251961250658950954412839507380223620591359399575518700204413602645420191519447im - 1.541017024429280339371737385586310578505513135489497697242370610529003563133132,1.617521397294945639912181116133928478260338191856750513631187908370715386878655 - 1.269972105547031685748584275640568999411083322182548620019940603667316442145698im,-0.4412830573981682680168731109958491280824229140053775770735382764592576241536655 - 0.3399294078378995540649286758875581833715114747851252780250977233191126376147543im
0.001497506029726835962971900313539784077738391954520417155683585889770108382336871im - 1.164331637465162150919566346343534055779281613103396131448841699241859435912047,-10.12821509229982134873391619299380395684036177273355484998316563766373030472949 - 2.360570201644220114875174818500146578328815055890518461916918143486638524369354im,0.1577014570617258879092767909748323660091254583635670905879791496216396454679229im - 0.1182179310528306042201230858598210041241480983674109598535964106704873546232986,5.86344004352120440681388139155687983405179530750443909031275492856376033575004im - 0.3131341954253515056819931472836810807463329028383223032086574201031123003108615,-4.302639722458229079087192860505449898890145696092966118521874553788574704225023 - 5.74921924702789062880008792135069224985326843390920364969787742004730931213579im,11.64355026436776715615237674484140118227019873888834592694126491015298640015584 - 6.065123647733172909587284157756984523526991505857423065940091125049224619580105im,8.317477084930541211345556226217148366157739953586478664522259156808306264137841im - 18.79549944152937691455735588848077526320362265150784770869505681820520032339689,42.62664724794059253038872243458927286660342639702959025263308237954840071235494im - 12.83881413054203506281496520829737386411665215921398300121839149738715932239202,11.71292441917068025992505965411785396248101527579050667909887882133716514112561im - 4.088605145400291804876785749646277672957741512475214991667874920020730807424906,-7.263351551059779577012510733029746341324043203076183205866735310790839163452621e-11 - 6.92806341463380038657907937479155288643245357894531788271328093183263562232464e-10im
1.772986742269849903492262585065272130628107977519447859168506949918749226143193 + 0.6165381585548600063726846812505705665253136259898662187209058231542683216474815im,-2.107613519916841319687890890834050715535828650647788290729902212325688289659222 - 0.6445758080709593903380002722803134201244963857335324747028684010003317774093731im,0.2559611017308852444843148511087475207193408750814151253388221145412806258390995 - 0.4861667906868145231244411597831333529546576032585895576141225281554391813572094im,0.02490844984801664183732245188025048397776075733330348261693021159137905922062366 + 1.432665910826586206164927023490178836591395389068317626432012048162172734467573im,0.467204055602185369361883981028556112884252039894235860909365440058971906327975 - 0.5697559545754817770189161346463410823691859402694565529591512322088550327264786im,0.1711305614195067465007704034784242809369468816387004767561147489815715346089523 + 0.02801769348851318544241796072349611565001318086394035046820584027161146912972591im,1.379071098570688160710069377333410757954587495035376161217666113000715078786024 + 0.2606179258626143778574893701978653597788947008238726720868912692535806595477109im,0.4251961250658950954412839507380223620591359399575518700204413602645420191518022im - 1.541017024429280339371737385586310578505513135489497697242370610529003563133028,1.617521397294945639912181116133928478260338191856750513631187908370715386879035 - 1.269972105547031685748584275640568999411083322182548620019940603667316442144506im,0.5521270418854300671887663795328231154151509255598680775904373435931344620231446im - 0.07374597398193795065371926806467948555807435924230151531680813024874956862166616
0.5834626969966448901580102412243785492405561434689844128546434760165849019474169 + 1.007592023459900266306340035331270866566834150565635755187177643233611093913832im,3.019793784109461192192917369786592371973795950326692623353294778052864678128975 + 9.951576665746708378938470149257446937962040040832043161027371175752825747632367im,-0.07746450250286017341227036816685563131301755861343396958718488753113209487831206 - 0.1812304600054514961233935584140862933870739530353402727103497331422156173774449im,-4.921320933543621805735370683203469768303705012854208367638919800979269955635451 - 3.202902189792557562046755570790691207640882836362033977250327605950751449544822im,7.130289781081709839676625980561868990396525417893168953978049066349473173113391 - 0.8515856794669075558797357702829254272385811419067817563377540399075109537256966im,13.11617214305008935931671051947717535155808316134369714941075851411463847936146im - 0.5692239761532150858997114562877697092802431508051469457120235257911226264678892,8.317477084930541211345556226217148366157739953586478664522259156808306264138532im - 18.79549944152937691455735588848077526320362265150784770869505681820520032339855,42.62664724794059253038872243458927286660342639702959025263308237954840071236213im - 12.83881413054203506281496520829737386411665215921398300121839149738715932239575,11.71292441917068025992505965411785396248101527579050667909887882133716514112548im - 4.088605145400291804876785749646277672957741512475214991667874920020730807424422,4.093056403300387627985134925089045447699681652850286271324513832567945119215837e-10im - 5.636711338549444788026674989555264955737916215977883270221472331192365424649528e-10
1.83148834244678512651836647182395031142649897352829037135332118153718089088268im - 0.4103229071271022515874979926530252935185896283297477669046279409350931040482048,0.1783742279130808640217352082044526583404701655664227253097253682093399159568783im - 2.491022025123727406248111626993505913543907613924672440705527816808053466510967,-0.07131389647857572201529579260585349293862887024686103300610016310474898875343276 - 1.109515625317138637296315338020441516959580411832239246463877304085321958203955im,1.632246337659990927484023024080275587792292317704351524209668862520825245013741 - 0.06163444858645018276956470725998015658893770664129560095207400238163832270814482im,1.5024575391330301938849197119123219766967983529444112308326400234764674804867im - 2.270857018325296466141705695004563290758050913113882114977467084932647315752044,-0.7395162327651006305019147806014520325221744683787606314721680523709188634124115 - 1.952957456149325073973775828942904492690494155696539612045595574382890926767758im,2.182355209487980158218329748499942804848707533962643387045227031281196111141148im - 0.2582278263740079125902685700208556538018403732574143986555449681063510192087695,0.1526496069338460968751811481890870648468958302446680395289995645478929451727829 - 1.175158017470802577319314778028575505764443439496974829934516178328170026458841im,1.753921119974284673749678536023223042726576710745447503475599343595024979640288 + 2.540968825903103688446014653390839730126982723416784560886662509031669044052722im,0.0001920013109257837227680909513081794765475935773577999228195292168683862004340402 - 0.0006071460929113922232348126849052381426922119857921902244293415172092177247113083im
-1.380953977730418206366215850126016291802896791571392526806672881451310932008442 - 1.271094232550146008915394526563523788766049127459202290963833467009921829134768im,1.091034399808700360926383289468097843312246082890705861243527154892317531229556 - 2.246475469100246530315719142331516944521173022536763683453630512492700051170516im,0.6165174586518695156215723624894249732477704479763570192281252178668251481617604im - 0.9252117691811310658507467693234458808729202793176060047267262660480873559667321,-0.8695001670541072070576306955998015628713867704639818231672246409305457393779001 - 1.382749569354439736864958901835816480888995879195027666994458255429082618665011im,2.436594906159304736158676431510329601267003592836885982435368001771300187285616 + 1.215391096665376166691385543478299406787855512596007417871182835150538643708361im,1.616918572160205727742924811368778704907047772704238394801171268020468816330745im - 1.321552653152999064204086428989001334146036680056838323977256018578199035050237,2.182355209487980158218329748499942804848707533962643387045227031281196111141908im - 0.2582278263740079125902685700208556538018403732574143986555449681063510192088299,0.1526496069338460968751811481890870648468958302446680395289995645478929451714011 - 1.175158017470802577319314778028575505764443439496974829934516178328170026458772im,1.753921119974284673749678536023223042726576710745447503475599343595024979640875 + 2.540968825903103688446014653390839730126982723416784560886662509031669044054518im,0.0004298032848068408915452433961782726035214033272032418583206001667984615650937612 + 0.0004698510592773395117379652240459391313254183177411682627329729771996465731879289im
1.791276884857520457953713842779041585321486419901140293711300822386404036056741 - 0.5603941098966391176029719452604265226604498460690880803894877145272590617475837im,1.399987625315027045321728337525408070231661531033966579462000661915735935281947 + 2.068101241187165666293983934127064286180702856970340958143905144283360135211427im,0.9965256656597067878660425619292993738115491495644670377328264291528363447202728 + 0.4929981666652691216747429755310165437118099638558822272357520862184968100427561im,1.444384017940889919634523609095796637477933585836323267946532257810720941371948im - 0.7627461706058837204263923284804740249209055472403697010424442215902795056374386,-0.1657378878340082700169707365057663105089526797230038674579009168386528715310482 - 2.717848635798406360576305255390621383484653865540418648703822858627006124194681im,2.061068885918099694706001209590453366668211148435598955449424070949117898459116 + 0.3360388839891193462308510175741257877834463829923012172444243063624221104384473im,2.182355209487980158218329748499942804848707533962643387045227031281196111140526im - 0.2582278263740079125902685700208556538018403732574143986555449681063510192085493,0.1526496069338460968751811481890870648468958302446680395289995645478929451742187 - 1.175158017470802577319314778028575505764443439496974829934516178328170026458358im,1.75392111997428467374967853602322304272657671074544750347559934359502497964053 + 2.540968825903103688446014653390839730126982723416784560886662509031669044050856im,0.000137295033634052711496847460859299011366793668051021961696368540009571151523139im - 0.0006218045957326246143133343474864520800689969045610417811401293836668477655271182
-2.652728104111993405910597638670986789616390093113711524949799187983572825657591 - 3.610025499093957519444613684699044814826552502963078024540438491016005559891568im,7.979399602459686065356004612597804569376987605048083158714620469765943591942517im - 1.675889728975047372879235129003810307261580422040069828847320255018324939052463,0.4301566625391383950774370483211220314749334530264593874072960314155923238767762 + 0.01119329783615310524876676739720318099725907102675505283398484751039112205584339im,-4.058635637112381088063967826085603098588340301949157795808096405325579343291657 - 2.676135644032848061067390386852310192382233883859008769706807579219190222843025im,5.087336969305157762096164688422263566884613113460540181924499821404244822907229im - 2.854148323429238912447735717064554006259671067868733552346882780085217367288586,2.552657336431954141915958622167228051828330979915167275462076607169817805786756 + 2.79148347250712529647745779870762914681673021649176636789111368253185332496716im,0.5962157872364588032722493407758061046566270959882187756150396992912253553416157im - 8.654491536052920358427268219827759261786188256206308284469315684644704216527453,1.944705962630477843951389010366525174525892047995228580380153811239904843825669 + 18.04849703937279813762369391387783545577307619395128850886137170839044970828912im,10.74914420521831266018111158084951715216368833024411749469497348848106039797429 - 12.06286061579909025318379357654638593463847012096739952990306463405337469681402im,-8.619833493084509199085488083020468336042666992001227036304920742083012137613063e-08 - 2.276842795001910361510497241108999872075360644886136950805578549577833265933266e-08im
4.452737842580960915888999105807938231219637024298098693260742010365175512792823 - 0.4923171779469387309864701181626415336803525925544729585365274775472643315191261im,-6.072417898190015155704267440381129113862871689963416550096285426068495119777182 - 5.441062880463651881842242125838530467650539071927603987147036284967277511593801im,-0.2053846509913352211885386165277439445554308674829525557411166462406739208483961 - 0.378123246284100394752695274554081094498412553159086015974204522545893228386925im,4.852949388460586265497329068054210072558970588166381081859030378016180684400452im - 0.288283633149285466452963568862442979957121575764095785217983129121167308486321,5.832837214744621064954575644179010657912058768251974823303311221688442882171762 - 0.07190353039409366141846884674323791289000174253377630453453288142979316748240599im,1.141166933219593051932193761106337441298659527226000963622500396849046852740013 - 3.606407836760355382711188290291715986912823847832193826211541690370711124268267im,0.5962157872364588032722493407758061046566270959882187756150396992912253553382907im - 8.65449153605292035842726821982775926178618825620630828446931568464470421652234,1.944705962630477843951389010366525174525892047995228580380153811239904843824771 + 18.04849703937279813762369391387783545577307619395128850886137170839044970827613im,10.7491442052183126601811115808495171521636883302441174946949734884810603979678 - 12.06286061579909025318379357654638593463847012096739952990306463405337469680739im,6.281720447437473887144779833573545381546368024097379143339457220479951261853114e-08 - 6.326573383902185132083797754401022297887871020985584641894023165249538508198881e-08im
4.102342677040896250431083802861686348506905095517550983076965968563269891410116im - 1.800009738468967509978401467136951441603246931184387168310942822381602687135992,7.74830762716506252858350256938493942112445211200348637894360568108682005883018 - 2.538336721996034183513762486759274101726448533120479171567584184798666080345503im,0.3669299484479472895039285071568779135011534821323309631402196750355021063309789im - 0.2247720115478031738888984317933780869195025855435068316661793851749184030284945,4.346919270261666554516931394948046078545461877713253581026079534446746651777106 - 2.176813744427738204429938681201899880176736704307372312152222798796990461556874im,-2.978688891315382152506839927114456651652387700383241270956428441603225514883038 - 5.01543343891106410067769584167902565399461137092676387738996693997445165542457im,0.8149243642532300862337304915840868400960936313404274583204280078388577993002782im - 3.693824269651547193848152383273565493126990507141168239084577004018864658527218,0.5962157872364588032722493407758061046566270959882187756150396992912253553389298im - 8.654491536052920358427268219827759261786188256206308284469315684644704216523722,1.944705962630477843951389010366525174525892047995228580380153811239904843823061 + 18.04849703937279813762369391387783545577307619395128850886137170839044970828083im,10.74914420521831266018111158084951715216368833024411749469497348848106039797167 - 12.06286061579909025318379357654638593463847012096739952990306463405337469680822im,2.338113045647035311940708249446922954496298967903847892965463521603060875860764e-08 + 8.603416178904095493594294995510022169963231665871721592699601714827371774150267e-08im
0.08251932831536174023868109195487518597620345230163641627598504694620070981723538 - 1.532327484993093607204595606716741702868926784963702210049804989647347386498458im,2.452414717929411411212141821992685893605724915003364830102759279062274792200359im - 0.8583994803742175541007052665754333554826429315746237242513915196494795511780942,0.2324917713618466048181338024085019890993662402841175263507357488925399850529736im - 0.7129845369604119539783114342609015550973948458702838249775367663480928834964351,0.9999452620587978399773630019184400270004885389921672877459907295340877573939468 + 1.588366553335208929800507954862867368546937470418607733070253579900699803160754im,-0.2810160076754857198297338956930546073605189881450581648760946472091192533116908 - 1.867473168986168630555448357492868637703569418309276939589242707686800323859998im,0.5422015545866395800745843611155054180198044772042537198196974518145639535602148 + 1.7989158970395349275578332869972913327576415237369029285283053060136707294017im,-0.7234210043689344896613205418085297551152984610302589764347441639119624145225383 - 1.081371806486745638393360098737676128918549246087779820032157848872023019852384im,2.916789800827430657804380530089068451650532547499740126249175186728728623001922im - 0.9656787464349073293342374710465247197325368029104021492337625940750625696210273,1.225569765198803994085166497805872672022314181534860047046443029758451129073976 - 0.884838430915046969652502153246806239867139495488122607822362807122884911110121im,0.0255925318915343227924979766583841414236223467664369716222881771234942138225052 + 0.05986576881093444092438069044523880168172802213350792689425307566850677472070183im
-2.033869194600943888339094016481230657651058172417323314548588019441112923013861e-77 - 3.115466970286527768861047682332856642597694637912803385588310886271269297383643e-78im,3.099203258141503491911694585362487945284804976503208807959762750818527041546084e-77im - 5.464101615137754587054892683011744733885610507620761256111613958903866033817699,0.1494292453613422540173151748269335703119223454561811742581122205601030881607484 - 0.1494292453613422540173151748269335703119223454561811742581122205601030881607484im,5.145277448127874813371872812362279366750844609659005856620667862594481215980336e-78 + 4.09807621135331594029116951225880855041420788071557094208371046917789952536324im,2.897777478867204860249229599186692102901714517025213651207029228931269641939624 + 2.89777747886720486024922959918669210290171451702521365120702922893126964193959im,2.236220613785043633339587090411010373530918641242042122477581602702676071393779e-77im - 3.36602540378443864676372317075293618347140262690519031402790348972596650845439,11.26294051624528391600216740835542413749541840050960658616044395546021690799422 - 11.2629405162452839160021674083554241374954184005096065861604439554602169079945im,9.639097023954061495809186153635161056141911247294810392536660823436712729151972e-77 + 19.39230484541326376116467804903523420165683152286228376833484187671159810145296im,13.71243025902846201419945148306131552946136588116627671459313652271117728545207 + 13.7124302590284620141994514830613155294613658811662767145931365227111772854518im,1.266865147827474938923792456762943840859361641752642366100493372573985240714004e-07 + 4.933143306720058404956819497999968092149172057788094564258004180412855736715215e-84im
1.285774864763456372003584741839084655976357694909982278563112594867344704597331 + 0.8376275771208786160188366597895170208592829169222404858522689296462996333141807im,-1.694653706154609948533426561963072833136885047588411946107408573898404559966092 - 1.969603115564139780473242856438814280676098232265060988461362245283662952099773im,0.5578360486504085722617496646108662125960716647158684744160043560352684736591203 + 0.5012168358322784804177030319572350548361124843456742519670215143914896285406275im,0.8755931546804224971940325277064985064074132717396902735632597403023059266156545 - 1.660161276004411182169379198143628567694821391162327264502064059963874188144821im,1.17710358601013774579391662901659711272159675580945119184088820178251196944112im - 1.476771201390109055334945172991662978661722461148834220594657833837559654260075,1.286806088814589104448998137468962107798996886231209589124071661887620994165265 - 1.369018268763212358281889867230993899739083706003447806765554430027453488101859im,-0.7234210043689344896613205418085297551152984610302589764347441639119624145225814 - 1.081371806486745638393360098737676128918549246087779820032157848872023019852988im,2.916789800827430657804380530089068451650532547499740126249175186728728623003096im - 0.9656787464349073293342374710465247197325368029104021492337625940750625696211828,1.225569765198803994085166497805872672022314181534860047046443029758451129074373 - 0.8848384309150469696525021532468062398671394954881226078223628071228849111111314im,-0.0646415425531225140778847859067855159449070827113018453913010081864034468818754 - 0.007769101640235085193232586972685397213348197310501202051682249411014391878561866im
2.638683034560676404524815084593474884820109500112218378396157263316905390920922e-77 + 2.45998401331820105749194931966705461959215212101609679467846705665525446692381e-77im,2.732050807568877293527446341505872366942805253810380628055806979451933016908849 - 4.73205080756887729352744634150587236694280525381038062805580697945193301690878im,-0.2041241452319315081831070062254909493304956233880558440360577139375800314547749 - 0.05469489987058925416579183139855737901857327793187466977794549337747694329402379im,3.54903810567665797014558475612940427520710394035778547104185523458894976268162 - 2.049038105676657970145584756129404275207103940357785471041855234588949762681585im,1.060660171779821286601266543157273558927253906532711054882509803493049358846633 - 3.958437650647026146850496142343965661828968423557924706089539032424319000786136im,1.683012701892219323381861585376468091735701313452595157013951744862983254227247 + 2.915063509461096616909307926882340458678506567262975785069758724314916271135975im,11.2629405162452839160021674083554241374954184005096065861604439554602169079945 - 11.26294051624528391600216740835542413749541840050960658616044395546021690799422im,2.89401808516342137767162835726166599612559039779732354859039377237234649089936e-77 + 19.39230484541326376116467804903523420165683152286228376833484187671159810145296im,13.71243025902846201419945148306131552946136588116627671459313652271117728545124 + 13.71243025902846201419945148306131552946136588116627671459313652271117728545207im,1.097137401187721540647786298959987350043322186782356625201027619089252305578553e-07im - 6.334325739137374694618962283814719204296808208763211830502466862869926203569917e-08
0.6946999078722149911857589469272246820096438680414617241975360600010477531841133im - 1.368294193078818112242265833793959841952561147211618694839097641813545414413887,2.553053186528827502634131828538506188619527979163035670358800093547884111143296 - 0.4828116023652716307388989655538716129296266827383038416413970337786118401006806im,0.1551484883100033817165617696500353425013231811544153505615324103128244098372631 - 0.7337086071941250852358368343657370439354787246297917783177572632840296135935622im,0.07179472266920225236887124328076119914788392074371953143181048006317438498361561im - 1.875538416739220337171395529624938533407901810731857561309250469836393684009161,1.75778720906559477516467906868471758602224144929389238547075248104667890757107 + 0.690369582976030884761531728476271524981972662499825747748354505904288354419509im,-1.829007643401228684523582498584467525818801363435463308943769113702184947724953 - 0.4298976282763225692759434197662974330185578177334551217627508759862172413003684im,-0.723421004368934489661320541808529755115298461030258976434744163911962414522616 - 1.081371806486745638393360098737676128918549246087779820032157848872023019852366im,2.916789800827430657804380530089068451650532547499740126249175186728728623001438im - 0.9656787464349073293342374710465247197325368029104021492337625940750625696208633,1.225569765198803994085166497805872672022314181534860047046443029758451129073855 - 0.8848384309150469696525021532468062398671394954881226078223628071228849111099742im,0.03904901066158819128538680924840137452128473594486487376901283106290923306707069 - 0.05209666717069935573114810347255340446837982482300672484257082625749238283066783im
6.496959959921303573431529565594312868329589184580814948570639708154723465177326e-77im - 1.46497808979538994288496025900700473795643883404755761270655331564051220778234e-77,2.732050807568877293527446341505872366942805253810380628055806979451933016908815 + 4.73205080756887729352744634150587236694280525381038062805580697945193301690878im,0.05469489987058925416579183139855737901857327793187466977794549337747694329402595 + 0.2041241452319315081831070062254909493304956233880558440360577139375800314547749im,-3.549038105676657970145584756129404275207103940357785471041855234588949762681551 - 2.049038105676657970145584756129404275207103940357785471041855234588949762681585im,1.060660171779821286601266543157273558927253906532711054882509803493049358846581im - 3.958437650647026146850496142343965661828968423557924706089539032424319000786136,1.683012701892219323381861585376468091735701313452595157013951744862983254227057 - 2.915063509461096616909307926882340458678506567262975785069758724314916271135906im,11.26294051624528391600216740835542413749541840050960658616044395546021690799408 - 11.26294051624528391600216740835542413749541840050960658616044395546021690799408im,19.39230484541326376116467804903523420165683152286228376833484187671159810145241im - 1.494593898232014031249094352198371718444259947143483294204457502268331918417273e-76,13.71243025902846201419945148306131552946136588116627671459313652271117728545166 + 13.71243025902846201419945148306131552946136588116627671459313652271117728545166im,-6.334325739137374694618962283814719204296808208763211830502466862869926203571462e-08 - 1.097137401187721540647786298959987350043322186782356625201027619089252305578594e-07im
8.800334825224031338889408745312619893041351367662022364131187432931843828035023 - 5.531801200170023497846101770356924495019257968316393819507205484408969686743445im,5.876176026882416496011767348516642916457557249816357032081108239615074071402649im - 8.395167639750599842328449541057737869045803444233503631537746335105451261791283,0.04488988294057750332109395009518838325772194655032488110930861557830019666453372im - 0.08463947497290353722525705823280530899054432505787019027610202830479943047066326,11.9350145472409391523900272962593514847315417405966772362384622148739264316913im - 17.30810436089763871461118426308962054162659101717424763048768546897594565640636,17.17072138663436009668464618663931039635247096619921410076530013754786121084391 - 36.47233495339941647347761827544854576681015236378660217086442033374468856276282im,2.005111519110867210885658157769648250725112390072210928890633285735181566513885 + 21.18519296227053944502013978250214790658769913422480761295791837821718853966646im,199.5452134848634332912555854571339473422463382174297719361462839679646685281812im - 86.7981664844748506300006545571969627985670207620980223180146831404596300198442,-34.19193684622875430208569518193669782131622859813056896958016695874605851344942 - 427.0347113562212751188476019312766477787111757419170453289447638468298299448057im,116.6385503266205817388631810832939863886431161234358601459465080715824048719714 + 184.932408857753046169124202395541473788613569156381467291469431397859330590831im,-9.696311674869740961536691293473154867696615282729589302380451272835322030726328e-06 - 2.562233534183940010330695008465556725853630591107889034595571985087775716423697e-06im
0.8364858639505291470261556608796794676116887561187735641948946403561788709327828 - 0.9798384433509032064513462902790486481711529275909291197396571746073119577203308im,1.628215617195350279937288748930813498219545321922277536848516277092689765753537im - 1.358006306374478348268818785835420625310825736618094736747061708244858432213275,0.05217515054000626785743620650781983687982597838991005711297081560493934596247833im - 0.8261868746449536211532495902734271783610792729335170192662240380548947065540881,1.003466726660915977905536696473636904105090880347316408593703454120373149508134im - 0.7510487868459593382523004865404486538294321936620956334651321145531595036595783,0.1795861618186488488211471495490434027362979358056612260345007701362791599904537 + 0.08619213334303214315172664725250389456798111703168782655235913902924107839915479im,0.7886269552639205234570499078122157245836152921615890305713092799199806987493329 + 1.45366797605844880143150548281472823881929500819980695693278166138152354970786im,1.095323521166679445659937669369066615741013273545026902528846535945332334409915 - 0.6204421466952258057999123492972691777008559500452481085983939489923749073093416im,-0.07404878978468288425218240203362126798198511386379642772468372010420536888106342 - 1.766245968877807618582703691307909679298643950774458890747040464042694219101131im,-0.5947207345393053500586895584019258536076315164886170870397557596573398867844146 - 0.2969507190281685163529071740479461489343625857706276317880762033991774596931671im,8.576136845085583922524836094909912277007177615497812397991259165993332977639636 + 13.96383609493667570714722441341524178948405983596556577063735703230171635036im
0.3152520303170433049430699421668347509901111083295472586539427720140584925830024 + 1.01042917089522825754350239231815471842499241743637366246274916652831494294583im,-0.6088021643640148567250150336855902829444189780548926245751901881850769825202361 - 0.07288897055211821097472790850412574970737183698940404963586520466801517151357454im,0.3961905440029862590838995386077415057816578371961195599901476333658384094164212 + 0.1403131220555271630139543976281519649148143318661053614288503254135701158967938im,0.9700914213204951098474034303405912535517876076203785748800532478108479704568945 - 0.03655109471171868596776283904101235555556223543709456278679258866517038190458315im,0.8242522142711968915912220093081121814404703817736062877335883120725687834154308im - 0.05182045554356725632730181351808372626361410997788509791534789473576062914418071,0.6039388848601885815142017417442074119342648415693963272577949541369427765032408im - 0.2508608616927328002980377558649803305800598833797099170038182334386709844957984,1.868357954023514606919614421038570135195310244038245350356384915944117160062885im - 1.86093393360585002458312491951260774410174021247055069673711018241967543398069,0.4354228898205515700903440444151133678741062196272200253447716966187263586234648im - 1.228978272594149971218953549375900131842441514621343598107455126395378774826999,-0.5062234937078146724307482156112857558009361305149327831308016977467358342043159 - 1.741353336002779248781141878059090811547834044117259829736942689728603228799412im,1.328892860056190048253768717932454715829206102744197464247725537370811461867338im - 0.6233506028497127448335495650150281664762358565084702730955830123881358261695512
0.4303220515712171888171970774189539401561792783575881551536945105947722066814817 + 1.214337229763183618996582784276619860015407621479038445212544588118560970647301im,-0.7310729341424930371667247955260728951140248285840038615321997171406775192349741 - 1.990175768417446849711920362481606136887116185552084990326895258831441373538397im,0.458278443136399610804682989418965422357744272073014327912889357614856709956334 + 0.6894112464457962216672714067707743972650119088656056513538533297070411016844334im,1.244552070563748354375243577823624200915370197617275918954228306388962080308696 + 0.1486939655596267398857738110463024438975996263894630926308151429248797442862082im,-0.01514850382788283495435929766271416787867851936384662508900662993815399437073533 - 0.198622244974608979546195272182971277784743853513633793836163460487680736880473im,0.8645999183025655530691114692978415995879308793090155376567777322410119670015883 - 1.4098049653969536049912404078992058981355156792927068723860623122502996489361im,1.095323521166679445659937669369066615741013273545026902528846535945332334410088 - 0.6204421466952258057999123492972691777008559500452481085983939489923749073084175im,-0.07404878978468288425218240203362126798198511386379642772468372010420536888091336 - 1.766245968877807618582703691307909679298643950774458890747040464042694219102099im,-0.5947207345393053500586895584019258536076315164886170870397557596573398867838446 - 0.296950719028168516352907174047946148934362585770627631788076203399177459693193im,0.4452343267075067136407213803402782809897353194843488236435270463829463597191227im - 16.38110521504004548996746157616932713336786453056239149247469938645704732304241
