a1,a2,a3,a4,a5,a6,b1,b2,b3,b4,b5
2.1667921724959265 - 1.9947279563342584im,-3.8157756508757954 + 0.34842895884819686im,0.8029397715729818 - 5.41322444980164e-31im,-2.747507657502746 + 0.7979211440011365im,3.8011449685219065 + 4.630976584409123im,-0.6415206717406062 - 5.827685922884438im,0.5176651282429495 - 1.0469916779155625e-30im,-0.7048603792639053 - 2.1002319701631404im,-5.078797596744982 - 2.507313670575866im,3.07562535091515 + 8.282545067193082im,-2.9152341458273953e-5 + 1.224330089444728e-5im
-0.8817270410215376 - 0.9212160495362306im,1.2964623813217886 - 1.696289844267715im,-0.1478074637990754 + 0.14580654130007317im,0.1986540225354379 + 0.08424649764422708im,1.9197290620131944 - 1.8114093682473962im,-0.6048508128598572 + 2.5819562184016607im,0.006197802873024948 + 0.006456545711287809im,-5.098329112101703 + 5.164027494445194im,2.162558059194463 - 6.522440258875999im,-1.2500739515945543 - 2.7866943323745343im,0.014983097531107185 - 0.028609443946935716im
1.324043756267867 - 1.4422530867484473im,-1.9612238143316707 + 0.1904778192287758im,0.5244601022130105 + 0.36912947866888607im,0.584216611265129 - 0.08541330616819946im,-2.5121574404909413 - 2.7131431354939037im,-3.5439619714188777 + 3.9312820503789734im,-0.07012625111396914 + 0.25430017267651084im,-1.2102701277590089 - 3.628556323570239im,-2.8014683325374174 + 1.1744485031052259im,-2.1373853615390197 + 0.8169766968758173im,-39.51597413428872 - 51.0138511225553im
-3.2641922107733903 - 3.2641922107733903im,5.656854249492381 - 5.677915841592417e-19im,2.197859118251791 - 2.197859118251791im,4.611195614365338e-19 + 4.559014113909555im,1.4315132138426403 + 1.4315132138426403im,-4.0 + 3.915882648725351e-19im,-21.233889274952585 - 21.233889274952585im,-0.6914325666660355 + 0.6914325666660355im,2.9050714783213744e-20 + 1.8344451829777202im,-1.819952865396422 - 1.819952865396422im,0.0015930775349048251 - 3.516600531406216e-20im
-0.7767512772276681 - 2.1909648396007633im,2.0 - 4.196984381691984im,-0.11315412947760087 + 0.11315412947760087im,3.236839754417518 - 2.0im,8.959512359127178 + 6.131085234380988im,1.5922885613468734e-28 + 7.113775927018013im,0.0028976185896172776 + 0.0028976185896172776im,4.899991007924684 + 21.72050280438523im,-47.57559181722228 + 46.19608451525032im,-51.38801946779437 - 15.894027718047818im,-6.157847504048435e-5 + 0.0006439577187501421im
-3.553690360440408 - 3.553690360440408im,6.1779171937152935 + 5.941761124590574e-21im,-0.0468699750681435 + 0.0468699750681435im,4.258067299481564e-21 - 8.327208436217575im,14.243881604625459 + 14.243881604625459im,-12.75593381418873 - 1.669782973651341e-20im,0.0002059274127848244 + 0.0002059274127848244im,-89.34436673988952 + 89.34436673988952im,2.7571832331801284e-19 - 302.10449816990456im,152.56967853631767 + 152.56967853631767im,0.0001353260818641842 - 1.7663700073165764e-23im
2.9694787989548104 - 2.5088002226153754im,-1.7695111196692337 + 3.9075456144031824im,-0.29775876775364973 + 1.3112311964827519im,0.6769028807529465 - 0.19868228211320973im,-4.620507428514588 - 4.743174268139009im,4.505191461029473 + 3.0107034248535824im,1.5094349136929248 - 1.9056731380673133im,-1.22274044455168 + 1.3952004956837551im,1.592744267750088 - 2.2087232865292004im,-2.5980262955726303 + 1.938809309760806im,-2.0106892624794357e-7 - 2.0979573170806087e-7im
-0.8276412155970329 - 0.08041842234393462im,-3.2804374471772366 - 1.8014990601186165im,-0.08784740048067637 - 0.19185003315462293im,-3.9611328928655603 - 0.3294858954052778im,6.5129853641441 + 0.44375414560133525im,-3.241833564098032 - 7.927363026914458im,0.00902211601340962 + 0.0026197002903343867im,-14.060692738585434 + 8.728410367065894im,26.516159762601795 + 15.358784829093452im,-16.879564101598337 - 30.863656660777785im,-3.592138328763485e-7 + 4.5345442270643186e-7im
1.6471192112018742 + 0.7116764746092212im,0.4801272376649024 + 1.8875250680441253im,0.14580654130007317 - 0.1478074637990754im,-1.5932534336204822 - 1.195951688150881im,0.35960304491610784 - 1.5796279291885613im,0.6048508128598572 + 2.5819562184016602im,-0.006456545711287809 - 0.006197802873024951im,8.551504226351158 + 2.681452465217522im,-1.8271190683077143 + 2.8096273377739607im,-15.99275392220308 - 13.539697175480878im,-0.0008679425382694036 - 9.114667410067004e-5im
-0.503780241980929 + 0.27050548830180937im,0.6645568657410008 + 2.079591795049812im,-0.31732562732054614 - 0.31082525765058255im,0.5383861209355182 - 0.17111879176696712im,0.510361120599486 + 1.4068606729237543im,-0.02664168302838731 - 1.415150541527671im,0.0600194351841621 - 0.06386660860053663im,-1.8830332878283096 + 0.9329097766893899im,-0.25783813790979526 - 2.0559232867971673im,2.0687132454609274 + 2.2417818761443766im,-0.4007801650899748 + 0.14864856347624172im
0.8276412155970336 + 0.08041842234393429im,-3.2804374471772393 - 1.801499060118614im,0.08784740048067635 + 0.1918500331546229im,-3.9611328928655616 - 0.3294858954052755im,-6.512985364144107 - 0.44375414560133186im,-3.2418335640980414 - 7.927363026914471im,-0.009022116013409616 - 0.002619700290334384im,14.060692738585441 - 8.728410367065901im,26.516159762601838 + 15.358784829093427im,16.879564101598376 + 30.863656660777842im,-3.592138328763495e-7 + 4.5345442270642783e-7im
0.12166777404746344 + 2.9426391031401384im,3.8157756508757954 + 0.34842895884819686im,0.567764157363633 - 0.567764157363633im,0.7979211440011365 - 2.747507657502746im,-5.962410329866773 + 0.586779562836841im,-0.6415206717406062 + 5.827685922884438im,-0.36604452256439335 - 0.36604452256439335im,-0.98667671419991 - 1.9834998221343685im,2.507313670575866 + 5.078797596744982im,8.031439324516775 - 3.6818482404740607im,-2.9152341458273953e-5 - 1.224330089444728e-5im
