a1,a2,a3,a4,a5,a6,b1,b2,b3,b4,b5
-0.7767512772276681 - 0.7767512772276681im,-2.1969843816919843 - 2.907917985567802e-30im,1.3707039289366147 - 1.3707039289366147im,-1.5751030870144384e-30 - 5.433824136109502im,-6.131085234380988 - 6.131085234380988im,-7.113775927018013 - 1.6502080799241084e-30im,-5.150637299165501 - 5.150637299165501im,2.221199011819162 - 2.221199011819162im,4.026668203905791e-30 - 3.8066348660516423im,-2.155452856788255 - 2.155452856788255im,4.0252453444940396e-5 - 3.2499321089681325e-34im
-2.2068118696726926 - 0.7337677666747365im,-3.413166550757273 + 0.8666178575193618im,-0.1271150497833582 + 0.018005494850626046im,-0.567312568777285 - 1.9997510803327816im,2.7234390580613987 - 5.338129058030235im,-5.456811335185981 - 6.645532305924784im,-0.0019303236829283637 + 0.0008669737562492134im,29.628690835809497 + 0.6301276653325412im,23.253278740753306 - 28.763669865096745im,26.47714729529522 + 0.7182689627387221im,-2.3230068781900473e-6 + 2.1547426879200601e-7im
-1.1403490413625283 - 0.0897697709070776im,0.26997463667985666 - 0.4945629619009389im,0.3298570042449756 - 0.43763398689170313im,0.8442754428210237 + 2.1488512787152136im,0.0616138918839258 + 1.2568971093677572im,-3.487905656774048 + 1.9290752598024692im,-0.1536358067454392 - 0.05903394662923051im,1.0196546253391325 - 0.7038504708540433im,3.87082558994139 + 0.6504091465139967im,3.6284947658203177 + 2.9623944732551974im,-0.0012459335952630535 - 0.0001447855491049936im
0.08087649916977116 - 0.0034560126266302738im,0.013234557924399705 + 1.970407444158787im,0.631863252239234 - 0.10983533723398523im,-0.201534068014542 - 0.6888968552165787im,-0.3703170589199007 - 0.052015950197051714im,-0.04263823668361131 + 0.04729817528684742im,0.22940412425834905 - 0.13023062885459252im,-1.03660309962293 - 1.6774901639980258im,-1.580854654590538 + 0.9271359331262395im,0.09367368073598221 + 0.5158859580227332im,-15363.469153753353 - 210063.77490171336im
-0.7744294269528714 - 1.8696380256504463im,-2.2482535798798836e-29 - 3.751060185377209im,-0.060662908977215525 + 0.1464532175857983im,1.0657948015934355 - 1.0657948015934355im,5.052133752015577 - 2.092662319007723im,5.610115704486 - 9.939647405784749e-29im,0.003680154579426903 - 0.0015243699384280768im,-11.692948377125138 - 4.843377801933704im,-19.248235710601623 - 19.248235710601623im,-14.173338662251194 - 34.21746642251377im,6.472578429176005e-5 + 4.8148248609680896e-32im
-2.1667921724959265 + 1.9947279563342584im,-3.8157756508757954 + 0.34842895884819686im,-0.8029397715729818 + 1.2662593823703865e-30im,-2.747507657502746 + 0.7979211440011365im,-3.8011449685219065 - 4.630976584409123im,-0.6415206717406062 - 5.827685922884438im,-0.5176651282429495 + 2.449118908182138e-30im,0.7048603792639053 + 2.1002319701631404im,-5.078797596744982 - 2.507313670575866im,-3.07562535091515 - 8.282545067193082im,-2.9152341458273953e-5 + 1.224330089444728e-5im
5.028898593119852 - 0.20792726402717632im,5.617716179406147 - 0.5129690994924972im,3.3091720152368627 + 3.3091720152368627im,11.628598052628881 + 4.044975290162274im,14.476290247711365 - 6.170028178321886im,0.9444688018368015 - 8.579719693418367im,-72.4749667108814 + 72.4749667108814im,2.361007449579775 - 1.3731664198966356im,1.2254378842789722 - 3.1067651819645166im,-0.0461122867331989 - 2.2312447185843762im,9.182984262230992e-10 - 4.357396548395902e-9im
-0.11733870688796164 - 3.0608241958468034im,6.14989084347648 + 0.5746187458958112im,-0.018005494850626108 + 0.12711504978335783im,4.128771991453828 - 0.1118884432548949im,-1.2145927774636214 + 5.6998218508176945im,-1.9591904415668981 - 1.1720837204864925im,0.0008669737562492116 - 0.0019303236829283459im,-11.49936372019442 + 1.0042711058856644im,-38.923444131321425 - 47.31134828680625im,49.94365259289234 - 23.132062689730912im,-1.8326790394001336e-6 - 6.397225719930521e-7im
-0.6338833016683025 - 2.117398113369956im,2.379961173882803 + 1.4129315504794957im,2.60960315741701 - 6.300139335047796im,13.21454444401117 + 14.627475994490666im,-21.844654034999202 + 7.874215067603815im,-1.1741368990410088 - 10.666064835471403im,-292.96772029370436 + 121.35120308317977im,-1.1973693169090642 + 2.6341588861797263im,-2.2416202151817886 - 2.600330916697474im,1.4144644760974396 - 0.456498329393626im,5.329080783231527e-6 - 3.7871606576191284e-6im
0.20792726402717632 + 5.028898593119852im,5.617716179406147 - 0.5129690994924972im,3.3091720152368627 - 3.3091720152368627im,-11.628598052628881 - 4.044975290162274im,6.170028178321886 + 14.476290247711365im,0.9444688018368015 - 8.579719693418367im,-72.4749667108814 - 72.4749667108814im,-1.3731664198966356 - 2.361007449579775im,-1.2254378842789722 + 3.1067651819645166im,2.2312447185843762 - 0.0461122867331989im,9.182984262230992e-10 - 4.357396548395902e-9im
1.0 - 2.098492190845992im,-2.0 + 4.196984381691984im,2.3923279400939136e-31 + 0.16002410454574437im,2.0 + 3.236839754417518im,-2.0 - 10.67066389052702im,1.0474614414058484e-28 + 7.113775927018013im,-1.8378614931442072e-32 - 0.004097851508021153im,-18.823531693218868 - 11.89389795430557im,46.19608451525032 + 47.57559181722228im,-25.09804225762516 - 47.57559181722228im,-6.157847504048435e-5 + 0.0006439577187501421im
-0.05963209096572997 - 0.05474455103741677im,-0.013234557924399705 - 1.970407444158787im,-0.36912947866888607 + 0.5244601022130105im,0.6888968552165787 - 0.201534068014542im,-0.22507287243712304 - 0.29863453466551704im,-0.04263823668361131 + 0.04729817528684742im,0.25430017267651084 + 0.07012625111396914im,-1.919153751479106 - 0.4531755891943696im,0.9271359331262395 + 1.580854654590538im,0.2985491643696765 - 0.43102375410390986im,-15363.469153753353 - 210063.77490171336im
0.3610224921651959 + 1.7727432455690129im,1.387006270054543 - 0.395562108447355im,0.12295482324164006 - 0.19520321524517728im,1.762976496133227 - 0.7225674409553909im,-0.8381123466791504 - 2.151875288905993im,-2.2922646060061673 + 0.49004611252189356im,-0.01219650334321963 - 0.0014151004170432405im,0.7189587119722943 - 6.599775810944976im,-9.593376300504039 - 0.04212077254699073im,-3.9683635138500684 + 11.804264292432213im,0.20013044459108667 + 1.3347306037232873im
-0.7767512772276681 + 2.1909648396007633im,2.0 + 4.196984381691984im,-0.11315412947760087 - 0.11315412947760087im,3.236839754417518 + 2.0im,8.959512359127178 - 6.131085234380988im,3.2022309429882192e-28 - 7.113775927018013im,0.0028976185896172776 - 0.0028976185896172776im,4.899991007924684 - 21.72050280438523im,-47.57559181722228 - 46.19608451525032im,-51.38801946779437 + 15.894027718047818im,-6.157847504048435e-5 - 0.0006439577187501421im
-0.9487093183742752 - 0.39296826642035937im,1.1037138024902861e-16 + 0.0966627933708626im,-0.22920675751924946 + 0.09494054755203452im,-0.011958076963363647 - 0.011958076963363685im,-0.02811724854745863 + 0.0678810427798898im,-0.019727484234230735 - 3.857871688089572e-18im,-0.005843538034695229 + 0.014107548775604252im,1.9952548095392741 + 4.8169712215798635im,2.4079323466848526 - 2.407932346684853im,2.5251884318316993 + 1.045967296012338im,0.009249674677485895 - 6.803591617451062e-19im
3.4089415187073535 - 3.7029950754817174im,-5.617716179406147 + 0.5129690994924972im,2.2840363105407087e-25 + 4.679875944173477im,4.044975290162274 - 11.628598052628881im,-5.873414235577905 + 14.599151765584878im,0.9444688018368015 - 8.579719693418367im,-8.323504913814841e-24 - 102.49508085506706im,-2.6404596652363796 - 0.6985090908232494im,3.1067651819645166 + 1.2254378842789722im,-1.6103345816427457 - 1.5451219603526187im,9.182984262230992e-10 - 4.357396548395902e-9im
0.7767512772276681 + 2.1909648396007633im,2.0 - 4.196984381691984im,0.11315412947760087 - 0.11315412947760087im,3.236839754417518 - 2.0im,-8.959512359127178 - 6.131085234380988im,2.9222468604244114e-28 + 7.113775927018013im,-0.0028976185896172776 - 0.0028976185896172776im,-4.899991007924684 - 21.72050280438523im,-47.57559181722228 + 46.19608451525032im,51.38801946779437 + 15.894027718047818im,-6.157847504048435e-5 + 0.0006439577187501421im
1.667920424870599 - 0.6614579024563663im,-0.48012723766490234 - 1.8875250680441267im,0.20761645405694945 - 0.0014148658676732112im,-1.1959516881508825 + 1.593253433620482im,0.8626878688853854 + 1.3712433720764066im,0.6048508128598571 + 2.5819562184016625im,0.008947975695465939 - 0.0001829588155191242im,-4.150753406213624 - 7.942899849383026im,-2.8096273377739625 - 1.8271190683077165im,-20.88259643623244 + 1.7345730602426717im,-0.0008679425382693983 - 9.11466741006783e-5im
0.08580472618195521 + 6.836808776947055e-64im,0.023116821227956465 + 4.054607427439434e-63im,0.38633236350094613 + 7.596454196607839e-64im,0.8298472468087821 - 8.01425917742127e-63im,0.3531058354087275 + 8.811886868065093e-63im,-3.9672366348852446 - 3.0385816786431356e-64im,0.05766114645232085 + 3.4184043884735275e-64im,-3.057990751466475 + 1.1546610378843915e-62im,-2.429929634463391 + 5.773305189421958e-63im,-0.6045253198982288 - 1.2154326714572542e-62im,-7275.608989400945 + 6.801854165661291e-42im
-3.7029950754817174 - 3.4089415187073535im,-5.617716179406147 + 0.5129690994924972im,-4.679875944173477 - 1.2849109855298942e-28im,-4.044975290162274 + 11.628598052628881im,14.599151765584878 + 5.873414235577905im,0.9444688018368015 - 8.579719693418367im,-102.49508085506706 - 8.442342719623537e-27im,0.6985090908232494 - 2.6404596652363796im,-3.1067651819645166 - 1.2254378842789722im,-1.5451219603526187 + 1.6103345816427457im,9.182984262230992e-10 - 4.357396548395902e-9im
-0.08087649916977116 - 0.0034560126266302738im,0.013234557924399705 - 1.970407444158787im,-0.631863252239234 - 0.10983533723398523im,-0.201534068014542 + 0.6888968552165787im,0.3703170589199007 - 0.052015950197051714im,-0.04263823668361131 - 0.04729817528684742im,-0.22940412425834905 - 0.13023062885459252im,1.03660309962293 - 1.6774901639980258im,-1.580854654590538 - 0.9271359331262395im,-0.09367368073598221 + 0.5158859580227332im,-15363.469153753353 + 210063.77490171336im
2.098492190845992 - 2.098492190845992im,-2.0 + 6.567183220907466e-32im,0.8892219908772516 + 0.8892219908772516im,-1.2621875641681778e-32 + 1.8205829092366831e-31im,0.0 + 0.0im,0.0 + 0.0im,-1.406243665193733 + 1.406243665193733im,-1.2084383234420883 - 1.2084383234420883im,6.663734103708798e-32 + 2.7250001545328533im,-9.943214207056423e-32 + 8.653899374279769e-32im,-2.6943364829287446e-5 + 1.4366150284458484e-36im
1.4127389306460445 - 1.5093805394412405im,0.5474159155309204 - 1.8239175124707372im,0.09647189653080977 + 0.12302121481916735im,-0.2896289213081365 + 1.3376422800782912im,0.7446841140595761 + 1.6275259837417053im,0.5671450626585537 + 0.21727146111901138im,-0.003482233279840967 + 0.0015729813815343655im,11.335051361482165 + 1.2392676977471475im,1.3719224125764375 + 8.13163277379287im,5.29394146724513 + 10.645415745403577im,8.058819574878556e-5 + 0.0004526607646728579im
2.098492190845992 - 1.0im,-2.0 - 4.196984381691984im,0.16002410454574437 - 1.2383046793087227e-30im,-2.0 + 3.236839754417518im,10.67066389052702 + 2.0im,4.284571699056757e-28 - 7.113775927018013im,0.004097851508021153 - 9.513045635030091e-32im,-11.89389795430557 - 18.823531693218868im,-46.19608451525032 + 47.57559181722228im,47.57559181722228 + 25.09804225762516im,-6.157847504048435e-5 - 0.0006439577187501421im
0.041524425369093204 - 0.10024883089581424im,2.5637979419682884e-30 - 0.19435632107096723im,-0.347941436997371 - 0.8400049361106369im,-1.170027887347558 - 1.170027887347558im,-0.8992140429552052 - 0.37246665206838886im,-4.4979356878013945 + 9.860761315262648e-31im,0.6944081710089891 + 0.28763328225461876im,1.150362435409454 - 0.47649572239113935im,1.6670371219145788 - 1.6670371219145788im,0.31905543216820687 - 0.7702679514892941im,0.6778414025684153 + 2.0447274663328626e-27im
-0.1372339827929312 + 1.6061842943137037im,0.31339488099035173 - 0.6298168133322737im,0.5442923294893612 - 1.0080119086070547im,1.172155610501346 - 0.7516092726221445im,-1.9020337657806397 + 0.0827847296122443im,-2.7144032558212743 + 1.0955730010612275im,-1.4978978703985673 + 0.1283457090457336im,0.3183717330778597 - 0.15122907435460836im,-0.7676312163006324 - 0.11571450835422857im,0.11344037450803847 - 1.406461503714279im,0.005177652528560808 + 0.00021798763976311274im
-1.6061842943137037 + 0.1372339827929312im,0.31339488099035173 + 0.6298168133322737im,-1.0080119086070547 + 0.5442923294893612im,-1.172155610501346 - 0.7516092726221445im,-0.0827847296122443 + 1.9020337657806397im,-2.7144032558212743 - 1.0955730010612275im,-0.1283457090457336 + 1.4978978703985673im,-0.15122907435460836 + 0.3183717330778597im,0.7676312163006324 - 0.11571450835422857im,1.406461503714279 - 0.11344037450803847im,0.005177652528560808 - 0.00021798763976311274im
-0.06781046372930416 - 2.251576177179589im,2.371905207168361 - 0.18355303594416386im,-1.228476328054598 + 0.5088515561345139im,0.23877891171124885 - 3.543374410781389im,1.438122937192661 + 0.9750404275338516im,-4.367106071888328 - 1.64118975601707im,-0.8996922921157637 + 2.1720493335884132im,-0.2580745688421157 + 1.5966417498463945im,1.0839253938943494 - 2.630047089205437im,3.0313986117979406 + 1.5565216802850257im,0.6476009065705829 - 0.8241853550770347im
0.293790780823782 - 0.709273687564956im,7.0907594707508774e-15 - 40.350887190824054im,-0.06066290897721554 - 0.1464532175857983im,-8.181047719295332 - 8.181047719295334im,7.188574167568883 + 2.9776049143319154im,-86.80976971537969 - 1.480489884396836e-14im,0.0036801545794269033 + 0.0015243699384280757im,-38.106806083043125 + 15.78435589831801im,-209.90931368100652 + 209.90931368100638im,74.94654989946768 - 180.93697722036666im,2.5395661276036305e-14 - 3.880562408276931e-29im
-2.0662504927359606 + 0.06833593692386027im,-0.547415915530921 + 1.8239175124707372im,-0.15520506745930276 - 0.018773202997577638im,-1.3376422800782917 - 0.2896289213081369im,-0.6242634727676448 + 1.677405846554489im,0.5671450626585538 + 0.21727146111901213im,-0.003574576567412153 - 0.0013500449642858841im,8.891386275584301 - 7.138797090019394im,8.131632773792875 - 1.3719224125764393im,3.78406375143123 - 11.270827572818607im,8.05881957487877e-5 + 0.0004526607646728568im
-1.640054021980166 - 1.5441555445033752im,-2.371905207168361 + 0.18355303594416386im,-1.228476328054598 - 0.5088515561345139im,-3.543374410781389 - 0.23877891171124885im,-1.706364179309063 + 0.32744878282862905im,-4.367106071888328 - 1.64118975601707im,-0.8996922921157637 - 2.1720493335884132im,1.3114824861219954 - 0.9465099307618864im,2.630047089205437 + 1.0839253938943494im,3.2441495500752313 - 1.0428954796883894im,0.6476009065705829 - 0.8241853550770347im
0.20792726402717632 - 5.028898593119852im,5.617716179406147 + 0.5129690994924972im,3.3091720152368627 + 3.3091720152368627im,-11.628598052628881 + 4.044975290162274im,6.170028178321886 - 14.476290247711365im,0.9444688018368015 + 8.579719693418367im,-72.4749667108814 + 72.4749667108814im,-1.3731664198966356 + 2.361007449579775im,-1.2254378842789722 - 3.1067651819645166im,2.2312447185843762 + 0.0461122867331989im,9.182984262230992e-10 + 4.357396548395902e-9im
-0.31815803848681734 - 0.7681014514928955im,1.7367472442271542e-30 + 1.17157287525381im,-0.12333571991906232 + 0.29775876775364973im,2.3463572077549984e-30 - 2.541308030114354e-31im,-1.536202902985791 + 0.6363160769736347im,-1.6568542494923801 - 3.4734944884514385e-30im,0.030928793835540973 - 0.012811125874522449im,-1.804430378205665 - 0.7474195350107997im,-2.9786768875351095 - 2.9786768875351095im,-2.8481615894497114e-30 + 9.93031041069961e-30im,27.339866892679407 + 3.52804411199753e-27im
-0.709273687564956 - 0.29379078082378207im,-7.581664554623917e-15 - 40.35088719082405im,0.1464532175857983 - 0.06066290897721551im,8.181047719295332 + 8.18104771929533im,2.977604914331909 - 7.188574167568886im,-86.80976971537967 + 1.666369960187996e-14im,0.0015243699384280775 - 0.003680154579426902im,-15.784355898318024 - 38.10680608304312im,209.90931368100635 - 209.9093136810065im,-180.93697722036674 - 74.94654989946756im,2.5395661276036343e-14 + 4.3126921142824173e-29im
2.117398113369956 + 0.6338833016683025im,2.379961173882803 - 1.4129315504794957im,-6.300139335047796 + 2.60960315741701im,-13.21454444401117 + 14.627475994490666im,-7.874215067603815 + 21.844654034999202im,-1.1741368990410088 + 10.666064835471403im,-121.35120308317977 + 292.96772029370436im,2.6341588861797263 - 1.1973693169090642im,2.2416202151817886 - 2.600330916697474im,0.456498329393626 - 1.4144644760974396im,5.329080783231527e-6 + 3.7871606576191284e-6im
-1.8543609414726083 - 0.7681014514928955im,-1.2520897296499218e-31 - 6.82842712474619im,-0.12333571991906232 + 0.0510873279155251im,2.128508550807002e-32 + 4.669460822502278e-33im,1.536202902985791 - 3.7087218829452167im,9.65685424949238 - 2.5041794592998436e-31im,-0.0009104586834354834 + 0.0021980417015302965im,10.516990961049924 + 25.39026221352198im,-17.36100116716419 + 17.36100116716419im,2.407253812277859e-31 - 5.469151091585327e-31im,8.832272017422054e-7 + 4.58087802237554e-37im
1.0387047265024298 - 1.232782886186669im,-0.31339488099035173 - 0.6298168133322737im,1.0976448532225929 + 0.3278992589630928im,-0.7516092726221445 + 1.172155610501346im,1.286403330141763 + 1.4034786175167884im,-2.7144032558212743 - 1.0955730010612275im,0.9684196204812813 + 1.149927862886149im,-0.33205791538617624 + 0.11818770740875988im,0.11571450835422857 + 0.7676312163006324im,-0.9143040086792196 + 1.0747329248291708im,0.005177652528560808 - 0.00021798763976311274im
-0.6338833016683025 + 2.117398113369956im,2.379961173882803 - 1.4129315504794957im,2.60960315741701 + 6.300139335047796im,13.21454444401117 - 14.627475994490666im,-21.844654034999202 - 7.874215067603815im,-1.1741368990410088 + 10.666064835471403im,-292.96772029370436 - 121.35120308317977im,-1.1973693169090642 - 2.6341588861797263im,-2.2416202151817886 + 2.600330916697474im,1.4144644760974396 + 0.456498329393626im,5.329080783231527e-6 + 3.7871606576191284e-6im
-7.745036367459894e-27 - 0.2077940667946512im,-588.9511263642687 - 9.495613379453946e-25im,-9.774356394237659e-28 + 0.06628415440945742im,-39.644035006840284 - 3.689975770261805e-26im,-1.710098981225351e-24 + 1043.211124212549im,-1060.2348470192867 - 1.6935392131029517e-24im,-5.281285093498678e-30 - 0.0002912253400247021im,4.257072097807086e-24 - 499.20202069039794im,12977.758748010043 + 9.835694471138345e-23im,-1.572418645675021e-22 + 20887.327749038097im,1.1223878557542097e-23 - 5.863377582764754e-50im
-1.1199996357880546 + 2.703918310572448im,5.016809120930871e-32 + 0.16519436075971153im,-0.04564938823681909 - 0.11020737219536347im,2.1844948053725486 + 2.1844948053725486im,-2.1405285092091137 - 0.8866359391606774im,2.80218883566397 - 1.1849175577470163e-31im,0.0015681992777792629 + 0.0006495694093598633im,-15.334900615989595 + 6.35192381278642im,15.923033452838084 - 15.923033452838084im,-16.22435192933067 + 39.169050468504196im,-6.1086373950439945e-6 - 1.2899431725900996e-36im
-0.10024883089581424 + 0.041524425369093204im,-2.338373795637763e-32 + 0.19435632107096723im,0.8400049361106369 + 0.347941436997371im,1.170027887347558 - 1.170027887347558im,-0.37246665206838886 - 0.8992140429552052im,-4.4979356878013945 - 9.681438558689708e-32im,0.28763328225461876 + 0.6944081710089891im,0.47649572239113935 - 1.150362435409454im,-1.6670371219145788 - 1.6670371219145788im,-0.7702679514892941 + 0.31905543216820687im,0.6778414025684153 - 4.1329914033398723e-32im
0.7744294269528742 - 1.8696380256504461im,-2.843772396178754e-15 + 3.751060185377199im,0.060662908977215664 + 0.14645321758579816im,1.065794801593433 + 1.0657948015934378im,-5.0521337520155685 - 2.092662319007733im,5.610115704485967 + 1.3192577423813371e-14im,-0.0036801545794269033 - 0.0015243699384280618im,11.692948377125163 - 4.843377801933677im,-19.248235710601676 + 19.24823571060152im,14.173338662251247 - 34.21746642251357im,6.472578429176279e-5 - 2.5597157429460875e-19im
0.6271522089495728 + 1.211565031277261im,-7.888609052210118e-30 - 4.535950205020818e-30im,-0.19454363101502925 - 0.3758294350749355im,1.4327599090980558 - 0.5065571237677283im,-1.0775939430393666 + 1.1490884437372386im,-0.4444444444444444 - 1.2570787221094177im,0.07507362234829897 + 0.010412764590003723im,-1.3478378128278523 - 2.6038227061187875im,2.481612957605599 + 1.7547653506033232im,-6.241503754343623 - 0.8657009912227467im,-0.01902488425925926 + 0.01007668083722149im
0.503780241980929 - 0.27050548830180937im,0.6645568657410008 + 2.079591795049812im,0.31732562732054614 + 0.31082525765058255im,0.5383861209355182 - 0.17111879176696712im,-0.510361120599486 - 1.4068606729237543im,-0.02664168302838731 - 1.415150541527671im,-0.0600194351841621 + 0.06386660860053663im,1.8830332878283096 - 0.9329097766893899im,-0.25783813790979526 - 2.0559232867971673im,-2.0687132454609274 - 2.2417818761443766im,-0.4007801650899748 + 0.14864856347624172im
-1.2022179969436675 + 0.6395904137435693im,1.7164425268568368 - 3.4231056271022196im,-0.004596455473850566 + 0.4441697503714161im,-1.6056221449169388 - 3.1904450677411784im,-0.3722604041184352 + 1.4932217243593757im,-5.286330652866798 + 0.6886207807039995im,0.0027203624111190217 - 0.087600661654534im,-1.238100964520874 - 3.479645064557963im,2.843258040161386 + 2.580929958868502im,-14.844852735357325 + 3.8856709518907384im,-6.019130302611741e-6 + 4.58638158920528e-6im
1.5057086248479652 - 1.459514683011188im,2.641401743208939 + 2.0344679635775886im,-1.1377277145726603 + 0.7166332268999481im,-0.7438660034221879 - 1.1138488738701173im,0.8443517485930767 - 0.1496697027231029im,0.08682740686846274 + 0.4061482919874849im,0.28018273542044697 + 2.414846061884443im,1.0985717181268886 + 1.5344483357861132im,-2.2163029340248857 + 0.07651631640407122im,-0.44225727589991953 - 2.0509442465935526im,4.434499866441853e-5 + 4.999267536950391e-6im
0.164950160206127 - 0.5475026904589024im,-0.6645568657410008 - 2.079591795049812im,0.004596455473850611 + 0.4441697503714161im,-0.17111879176696712 - 0.5383861209355182im,1.3556805312389182 + 0.6339209127791943im,-0.02664168302838731 - 1.415150541527671im,-0.002720362411119048 - 0.087600661654534im,-1.9911724363556929 - 0.6718387776911023im,2.0559232867971673 - 0.25783813790979526im,-3.0479803307586426 - 0.12237800236693715im,-0.4007801650899748 + 0.14864856347624172im
-0.0897697709070766 - 1.140349041362529im,0.2699746366798568 + 0.4945629619009403im,0.437633986891703 - 0.3298570042449753im,-0.8442754428210257 + 2.148851278715214im,1.256897109367759 + 0.06161389188392682im,-3.487905656774046 - 1.9290752598024719im,-0.059033946629230276 - 0.15363580674543903im,0.7038504708540434 - 1.019654625339136im,-3.870825589941396 + 0.6504091465139936im,2.9623944732552 + 3.628494765820324im,-0.0012459335952630496 + 0.0001447855491050033im
-1.5441555445033752 - 1.640054021980166im,-2.371905207168361 - 0.18355303594416386im,0.5088515561345139 + 1.228476328054598im,3.543374410781389 - 0.23877891171124885im,0.32744878282862905 - 1.706364179309063im,-4.367106071888328 + 1.64118975601707im,-2.1720493335884132 - 0.8996922921157637im,0.9465099307618864 - 1.3114824861219954im,-2.630047089205437 + 1.0839253938943494im,-1.0428954796883894 + 3.2441495500752313im,0.6476009065705829 + 0.8241853550770347im
0.7681014514928955 - 0.23189854850710445im,-0.4637970970142089 - 1.536202902985791im,0.2968392018291541 + 0.4712622496637415im,-0.7086294050033421 - 0.24483230798913325im,1.0465382870075246 + 0.9534617129924754im,-0.6976921913383497 - 0.6976921913383497im,-0.1716178256100874 + 0.01991197392881455im,-0.8772416663183947 - 0.8457774511542112im,1.688686965107646 + 0.7839665107407257im,-1.9410336437921274 + 1.2395162651678633im,-0.015490282886303514 + 0.09759353472959285im
0.7071067811865476 + 1.7933662711662604im,3.536202902985791 + 1.536202902985791im,-0.5431297449898564 + 0.12333571991906232im,-0.24483230798913325 + 3.291370594996658im,2.894242201401843 + 1.4142135623730951im,0.6976921913383497 - 0.6976921913383497im,-0.13543202005325766 + 0.10727223646950865im,2.8087527758169513 + 1.731238426210513im,10.116034107390687 + 2.024125955994391im,4.586971056684958 - 5.865529399406617im,-1.3218236936382644e-6 - 1.1193836621631201e-5im
-0.21010690594991 + 0.8008355458178789im,0.6544274814427187 + 1.6140977243105172im,0.4376339868917032 - 0.32985700424497527im,0.25214615877658436 - 0.6323198765481981im,-0.35123285679172733 - 0.0380766548998025im,-0.29477297080304005 + 0.08027102355731996im,-0.0590339466292302 - 0.15363580674543917im,-0.9677444451256446 - 2.473082109338606im,-1.5477337689826849 - 0.13692560685022087im,-1.014370697981601 + 2.4780157360886954im,-0.2653400526080882 + 0.44443883914692206im
0.41324226968027733 - 1.3001694292490082im,-1.407633207423626e-31 - 5.307904218947255e-32im,0.4033146628383769 + 0.12818842138361544im,0.5065571237677283 + 1.4327599090980558im,-1.5745022152383845 + 0.05055424626101172im,-0.4444444444444444 - 1.2570787221094177im,0.045722130998229346 + 0.06044800390321094im,-2.7942459498943206 - 0.8881154351138827im,1.7547653506033232 - 2.481612957605599im,3.8012665881241507 + 5.025552670871191im,-0.01902488425925926 + 0.01007668083722149im
0.36944869188761464 + 2.540380801919403im,5.763573093698447 - 3.4217088736348704im,-0.05708974710118841 - 0.13782684172413914im,5.023461243298795 - 1.6017523696639238im,-21.07965647296617 - 9.909261795679871im,2.843417747269741 + 25.83010385882595im,0.003067402178158071 + 0.0012705595834458458im,-26.746505391127258 - 18.812542764730143im,33.30200407958866 + 157.35907389081615im,113.66864321547888 - 118.95240720279129im,3.4969674292505837e-6 - 1.08956153754843e-6im
-0.7681014514928955 - 1.8543609414726083im,-7.048938034751919e-31 + 6.82842712474619im,-0.0510873279155251 + 0.12333571991906232im,-1.7366937119326247e-32 + 1.0474222113510077e-32im,-3.7087218829452167 + 1.536202902985791im,9.65685424949238 + 1.4097876069503839e-30im,0.0021980417015302965 - 0.0009104586834354834im,-25.39026221352198 - 10.516990961049924im,17.36100116716419 + 17.36100116716419im,-7.446003883003918e-31 + 3.0995344723126237e-30im,8.832272017422054e-7 - 1.238807474923722e-36im
-1.4155915388231646e-27 - 4.616264894668345im,-5.656854249492381 + 1.5455069247070041e-27im,-9.22424182975453e-28 - 3.1082421732170546im,-4.559014113909555 + 1.0281684017593794e-27im,-7.925204489677771e-28 - 2.0244654017325585im,-4.0 + 5.352128560758329e-28im,2.641222752404385e-26 + 30.02925419456655im,-4.392720299689508e-29 - 0.9778333132455465im,1.8344451829777202 - 4.549093397953407e-29im,1.805728210368196e-28 - 2.573802025123396im,0.001593077534904825 + 5.681781962123269e-29im
0.027922945703072705 + 1.2748732854268296im,-1.2964623813217886 - 1.696289844267715im,-0.0014148658676732047 - 0.20761645405694948im,-0.08424649764422708 - 0.1986540225354379im,-2.638313285582994 + 0.07659358999784613im,-0.6048508128598572 - 2.5819562184016607im,0.0001829588155191234 + 0.008947975695465939im,-0.046455771668069315 + 7.256581947443878im,-6.522440258875999 + 2.162558059194463im,1.0865546913589788 + 2.854426227673325im,0.014983097531107185 + 0.028609443946935716im
2.1909648396007633 - 2.1909648396007633im,6.196984381691984 - 1.5389743145704984e-30im,-1.3707039289366147 - 1.3707039289366147im,6.210415047970928e-31 - 9.433824136109502im,8.959512359127178 - 8.959512359127178im,7.113775927018013 + 1.1895791995652208e-30im,5.150637299165501 - 5.150637299165501im,2.8258083810471324 + 2.8258083810471324im,2.1397296115873325e-30 + 7.226821945651795im,-4.573890333700137 + 4.573890333700137im,1.8069934640327046e-7 + 4.384523167399742e-37im
0.5475026904589024 - 0.164950160206127im,-0.6645568657410008 + 2.079591795049812im,0.4441697503714161 + 0.004596455473850611im,0.17111879176696712 - 0.5383861209355182im,-0.6339209127791943 - 1.3556805312389182im,-0.02664168302838731 + 1.415150541527671im,0.087600661654534 + 0.002720362411119048im,-0.6718387776911023 - 1.9911724363556929im,-2.0559232867971673 - 0.25783813790979526im,0.12237800236693715 + 3.0479803307586426im,-0.4007801650899748 - 0.14864856347624172im
