x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
-1.0326833458786375 - 0.2321983185984309im,0.3675247823358379 - 0.49079365494212607im,-0.07658054381710025 - 0.4132676368735261im,-0.516699887216728 - 0.8218482675010441im,0.7397335844562138 - 0.367248276199187im,0.6484568474685366 - 0.08471756338893241im,-1.8609339336058537 + 1.8683579540235125im,-1.228978272594158 + 0.4354228898205539im,-0.5062234937078146 - 1.7413533360027804im,-0.8391796742915538 - 1.2042838875602793im
-1.2668079155217464 - 0.23449878641228042im,2.0890792405169716 + 0.36196015122209657im,0.367908431508554 - 0.7415863969858025im,-0.493503283717789 - 1.1521606922205427im,-0.164437657990766 + 0.11243011163157683im,-1.6532268735664861 - 0.0438630106614952im,1.0953235211666794 - 0.6204421466952258im,-0.07404878978468288 - 1.7662459688778076im,-0.5947207345393053 - 0.2969507190281685im,7.804968369954461 - 14.409070421644183im
0.717431315561594 - 0.7782308522967957im,0.2412773820281772 + 0.5636826254942453im,-0.31961000018588626 + 0.272954514817999im,-0.45339153410376815 + 0.8583993622127611im,-0.6879131289126473 - 0.45700393807200984im,-0.397595985775802 - 0.5192213214712554im,-1.8609339336058501 + 1.8683579540235147im,-1.22897827259415 + 0.43542288982055155im,-0.5062234937078147 - 1.7413533360027793im,1.4625302771412758 - 0.12460897249589929im
0.39051295542047126 + 10.38721412053791im,-0.8913338965139832 - 10.208516458494275im,0.08119551648590158 + 0.05085499401922292im,18.9900779728963 + 9.021750794269112im,-40.17132929829621 + 3.3658865545695904im,17.34435952984616 - 12.329073994106087im,-86.79816648447485 + 199.54521348486344im,-34.19193684622876 - 427.0347113562213im,116.63855032662059 + 184.93240885775305im,7.067115168466547e-6 - 7.116135466356864e-6im
-9.190847780644503 - 4.855412920367887im,9.286501536264582 + 4.332340431611858im,0.0034439584870019522 - 0.09574487695980043im,-1.6819736119986641 - 20.95676534151005im,23.000607911661845 + 33.106448398829826im,-19.349471048957025 - 8.856118968164452im,-86.79816648447485 + 199.54521348486344im,-34.19193684622876 - 427.0347113562213im,116.63855032662059 + 184.93240885775305im,2.6291965064031944e-6 + 9.678369000540804e-6im
-1.3346173429289667 - 1.9984418175919088im,1.0078017900462384 - 1.322923604624755im,-0.21573932114712452 - 0.17026148021371923im,2.8168122381515808 - 1.5018680673073153im,-0.1720340420958208 - 2.8554264552355297im,-1.3409813376355104 + 0.9779596517005386im,-1.4592818440654187 - 7.611388681904099im,-0.04729643735651936 + 9.55190400349021im,11.196013356471111 - 2.4235424254786677im,7.458021244347174e-7 - 1.6569424828855535e-5im
0.907086523702348 - 2.8096365784911144im,-1.8650582004249947 + 0.007120847457745619im,0.20807735338157884 - 0.21212892585067128im,1.7317535314233612 + 0.34090699641218525im,1.0696123084953255 - 1.125009562652087im,-0.10600140400659198 + 0.3921586736930026im,1.9629031978091631 - 7.384645409701758im,-2.856464579282726 + 4.123251933853247im,1.4747954803474304 + 7.088616348213281im,7.1966235817054105e-6 + 5.9252642327918544e-5im
-1.9976593733516337 - 3.623345478988724im,2.4744411526042676 + 3.1714660882133043im,-0.1971857866401252 - 0.25330126970681094im,3.1494477447752165 - 0.34636799509771093im,-1.7377310077184631 - 2.3978435120692im,-2.5281035943259 + 1.38448247948922im,-4.62541470820851 - 4.785714482572334im,-8.971926575263502 + 9.4850499211059im,8.538712124689825 + 1.3454401868965034im,-0.002359191909349754 - 0.0033344137697263448im
1.9796733905241217 + 2.190378262202305im,0.9263622654176157 - 1.6187482048334063im,-0.2877477153549763 - 0.07413581105534355im,-0.5706426464908775 - 1.6701960495121355im,-1.5090930150047905 - 0.36380665003142654im,0.39262007573584823 - 0.10427942813997537im,1.962903197809161 - 7.384645409701754im,-2.8564645792827212 + 4.123251933853243im,1.4747954803474281 + 7.088616348213279im,-5.491260528818324e-5 - 2.3393862320728117e-5im
4.136738918167547 + 0.08164897406374466im,-3.9837907759357147 + 0.5571958542182903im,-0.12077244105688931 + 0.29741853534897206im,-1.8746873552001098 - 2.554317757318091im,-1.2077278918923937 + 2.7038409536627213im,2.4630487954950824 + 1.497160696340368im,-4.62541470820851 - 4.785714482572334im,-8.971926575263502 + 9.4850499211059im,8.538712124689825 + 1.3454401868965034im,0.004067282985986527 - 0.0003759132410364291im
-2.139079544815913 + 3.541696504924979im,1.5093496233314472 - 3.7286619424315943im,0.31795822769701454 - 0.04411726564216115im,-1.2747603895751065 + 2.900685752415802im,2.945458899610857 - 0.3059974415935216im,0.06505479883081738 - 2.881643175829588im,-4.62541470820851 - 4.785714482572334im,-8.971926575263502 + 9.4850499211059im,8.538712124689825 + 1.3454401868965034im,-0.001708091076636773 + 0.003710327010762774im
-2.8867599142264706 + 0.6192583162888085im,0.9386959350073797 + 1.6116273573756617im,0.07967036197339745 + 0.2862647369060148im,-1.1611108849324843 + 1.3292890530999515im,0.4394807065094658 + 1.4888162126835134im,-0.2866186717292568 - 0.28787924555302763im,1.962903197809167 - 7.384645409701759im,-2.856464579282728 + 4.12325193385325im,1.4747954803474304 + 7.088616348213281im,4.77159817064777e-5 - 3.585878000719022e-5im
-4.930380657631324e-32 + 4.930380657631324e-32im,2.732050807568877 - 4.732050807568878im,0.2041241452319315 + 0.05469489987058925im,3.549038105676658 - 2.049038105676658im,-1.0606601717798212 + 3.958437650647026im,1.6830127018922194 + 2.915063509461097im,-11.262940516245283 + 11.262940516245283im,2.5637979419682884e-30 + 19.392304845413264im,-13.712430259028462 - 13.712430259028462im,-6.334325739137375e-8 + 1.0971374011877216e-7im
6.972848140057598e-34 - 2.8936075116262023e-32im,2.732050807568877 + 4.732050807568878im,-0.05469489987058925 - 0.2041241452319315im,-3.549038105676658 - 2.049038105676658im,3.958437650647026 - 1.0606601717798212im,1.6830127018922194 - 2.915063509461097im,-11.262940516245283 + 11.262940516245283im,-2.980336899785355e-32 + 19.392304845413264im,-13.712430259028462 - 13.712430259028462im,-6.334325739137375e-8 - 1.0971374011877216e-7im
3.375720711912488e-17 + 2.1528235871580753e-16im,-5.464101615137754 - 7.784028829000572e-16im,-0.14942924536134225 + 0.14942924536134225im,-2.6582005223811893e-16 + 4.098076211353316im,-2.8977774788672046 - 2.897777478867206im,-3.366025403784439 - 8.541063460829254e-16im,-11.262940516245287 + 11.262940516245283im,-6.690190010472284e-16 + 19.39230484541326im,-13.712430259028462 - 13.712430259028466im,1.2668651478274753e-7 - 1.2752803710915814e-22im
-0.034699046689048746 + 1.0010403191352142im,-0.14909339318871767 + 0.1728479154716207im,-1.1145971104538057 - 0.1492593176098444im,-0.59428964138462 + 0.17010553420651617im,0.006036621852497055 + 0.9662441024706239im,0.5244701475050729 + 0.6914555225255896im,0.6590665470728374 - 0.5681813051275767im,0.19610729098471422 - 1.0965758047355783im,-0.33487547083342883 - 0.22975343323330122im,14.010368140798178 - 1.4941683822339682im
-0.8495768232390528 - 0.5305704154874257im,-0.07514398919525002 - 0.21554262377366165im,0.4280361944252476 + 1.039899071442648im,0.4444605346394758 + 0.4296171595417667im,0.833773628070206 - 0.48834991911261466im,0.3365829743416673 - 0.7999322325287597im,0.6590665470728374 - 0.5681813051275767im,0.19610729098471422 - 1.0965758047355783im,-0.33487547083342883 - 0.22975343323330122im,-5.711196293852975 + 12.88041891742036im
0.8842758699281016 - 0.47046990364778857im,0.22423738238396768 + 0.04269470830204094im,0.6865609160285582 - 0.8906397538328035im,0.14982910674514419 - 0.5997226937482829im,-0.839810249922703 - 0.4778941833580092im,-0.8610531218467402 + 0.10847671000317004im,0.6590665470728374 - 0.5681813051275767im,0.19610729098471422 - 1.0965758047355783im,-0.33487547083342883 - 0.22975343323330122im,-8.299171846945203 - 11.386250535186393im
1.5111919717301565 + 0.16721733284266235im,-1.8596534550217887 - 1.1571385001499581im,-0.19545099355529003 - 1.21259752522486im,1.035641543843329 + 1.1631893025488003im,-0.8457392411523718 + 0.6447412104530529im,0.7037219592617763 - 1.5915733539390406im,-0.8467327433287092 + 0.9813463066400806im,0.20729003391138323 - 1.3658243390371423im,0.23456956883909139 + 0.6342680168382339im,0.7912414801042374 - 0.21570500758773561im
-0.6107815276702546 - 1.3923393039347418im,-0.07228460931599291 + 2.18907638435935im,1.1478657581885154 + 0.4370332369986402im,-1.5251722573392288 + 0.31529723490845835im,-0.13549264654288695 - 1.0548022730418538im,1.0264819768667228 + 1.4052277708911765im,-0.8467327433287092 + 0.9813463066400806im,0.20729003391138323 - 1.3658243390371423im,0.23456956883909139 + 0.6342680168382339im,-0.5824267563466129 - 0.5773827185044013im
-0.9004104440599018 + 1.2251219710920795im,1.9319380643377817 - 1.0319378842093918im,-0.9524147646332254 + 0.7755642882262197im,0.4895307134958997 - 1.4784865374572584im,0.9812318876952587 + 0.41006106258880104im,-1.730203936128499 + 0.18634558304786425im,-0.8467327433287092 + 0.9813463066400806im,0.20729003391138323 - 1.3658243390371423im,0.23456956883909139 + 0.6342680168382339im,-0.20881472375762458 + 0.7930877260921368im
4.5357730265852314e-32 + 5.630409211763333e-32im,-0.7320508075688773 + 1.2679491924311228im,0.7618016810571367 + 0.2041241452319315im,-0.950961894323342 + 0.549038105676658im,0.284203036472259 - 1.0606601717798212im,0.8169872981077807 + 1.4150635094610966im,-1.4649815451125716 + 1.4649815451125716im,-4.862215130657343e-32 - 1.3923048454132638im,0.9845081976706066 + 0.9845081976706066im,-0.12391486721229816 + 0.21462684582485123im
