x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.1317313913545713 + 1.8631344947149315im,-0.46627418141359284 - 1.5436123163073696im,-0.34045356355569983 - 0.10531915424319592im,0.6224834974578225 - 2.031580084530138im,-0.40521673704073546 - 1.0463810274428493im,-0.7943587734268022 - 1.0828131294340129im,1.547350892246459 - 3.647676229020839im,4.698725996147492 - 3.658200985660664im,-1.0188817705347308 - 2.4045059377829574im,-0.00021996984883538464 - 0.013340046070643336im
-1.630610446799038 + 0.5357898912950539im,0.6935444877390279 - 1.47647424118239im,0.16600228595178396 - 0.6402419311399282im,-1.0049928764464606 - 0.28504983128314215im,0.9537036709675294 - 0.7791950348158514im,0.7168137720069577 - 0.10200228294740951im,-0.0571903846450881 + 0.21570197380660913im,-1.7373101480583606 + 1.7701969673648128im,0.36722176192509104 - 1.7439311479182535im,20.761896020110523 + 7.608436802018303im
0.836249351572058 - 1.1742394883465823im,-0.38347988001385047 + 0.5767357096182291im,3.260301546490025 + 1.101817915899554im,1.0181356386985259 - 0.19086902474014822im,-1.065065678067187 + 3.377676722716699im,-0.007308981295767464 + 0.861348053306024im,0.25928187394915025 - 0.09992839422047822im,-0.04539714271427416 + 0.9519715636022013im,0.19834708738979426 + 0.3252373718466185im,0.14934377434849136 - 0.045503527960638834im
1.1537768956761931 - 0.8365108948075681im,-1.3599442726521191 + 1.467137277607788im,0.7133105039639823 + 0.2417130146422175im,-0.031231561648265488 - 0.32698714008517843im,-0.022584318852980918 - 0.35195512700294995im,0.6426818040029154 + 1.184740367141055im,-0.8526345823261335 + 1.0526556676006968im,0.5398872951131812 - 0.11383407848232477im,-0.39960990618029363 - 0.12252138347119898im,-50.78616991759669 + 12.48644370986959im
-0.19874300124842442 + 0.26825794556666616im,1.2721188351742112 - 0.1952988817808142im,-0.2130397496508729 - 0.8365411496342223im,-0.7895862574151793 + 0.7425005251988488im,0.6505000983347231 - 0.12036337732472298im,-1.2112021701001132 - 0.05259308181841362im,-1.0957503036010756 - 0.6559813783396479im,-0.23398217392123913 + 1.372094473444162im,0.36137501368704356 - 0.3016735037239958im,9.486251129429963 + 23.45126558309105im
0.3512975664470996 - 1.680045016251788im,0.9318919570277879 + 1.3388642656278582im,-0.6374669199110771 + 0.17635876884943055im,0.2556360429875611 + 1.0128742772666017im,-1.151654530136992 - 0.4363340893324304im,-0.4467434542799438 - 0.5697777948668674im,-0.0571903846450881 + 0.21570197380660913im,-1.7373101480583606 + 1.7701969673648128im,0.36722176192509104 - 1.7439311479182535im,-16.970047563691544 + 14.176110983137594im
0.5987965512489525 + 1.3113329265329576im,-0.3077278357921064 - 0.6204711727413175im,-0.6759484677311723 - 3.3744129212078304im,-0.6743652435697918 - 0.786296815241144im,3.457686686677622 - 0.7664644274532669im,0.7496037863111734 - 0.4243442631750921im,0.25928187394915025 - 0.09992839422047822im,-0.04539714271427416 + 0.9519715636022013im,0.19834708738979426 + 0.3252373718466185im,-0.03526467599851694 + 0.15208726646316373im
0.14755123760770972 + 1.4174555493589154im,-0.5906060169214271 - 1.9113149266517802im,-0.1473256408765108 - 0.7386015245401979im,-0.26756338920045275 + 0.19054089582984693im,-0.2935099215502427 + 0.19553615735532429im,0.7046743528315986 - 1.148948952387064im,-0.8526345823261335 + 1.0526556676006968im,0.5398872951131812 - 0.11383407848232477im,-0.39960990618029363 - 0.12252138347119898im,14.579507503126866 - 50.22533516448657im
-0.13294669500354378 - 0.306245460688831im,-0.4669256246342266 + 1.199336668783943im,-0.6179460120688395 + 0.6027684100306441im,1.0378174458530804 + 0.3125514948012im,-0.4294877916158635 - 0.5031679216597841im,0.560054140131997 + 1.0752283893347458im,-1.0957503036010756 - 0.6559813783396479im,-0.23398217392123913 + 1.372094473444162im,0.36137501368704356 - 0.3016735037239958im,-25.052517310567517 - 3.5102983267803536im
1.2793128803519387 + 1.144255124956734im,-1.6254364447668157 + 0.13760997555453172im,0.4714646339592931 + 0.46388316229049764im,0.7493568334588997 - 0.7278244459834595im,0.1979508591694627 + 1.2155291241482817im,-0.270070317727014 + 0.6717800778142768im,-0.0571903846450881 + 0.21570197380660913im,-1.7373101480583606 + 1.7701969673648128im,0.36722176192509104 - 1.7439311479182535im,-3.7918484564189776 - 21.784547785155898im
-1.4350459028210105 - 0.13709343818637545im,0.6912077158059569 + 0.04373546312308838im,-2.5843530787588525 + 2.2725950053082764im,-0.34377039512873403 + 0.9771658399812923im,-2.392621008610435 - 2.611212295263432im,-0.7422948050154059 - 0.437003790130932im,0.25928187394915025 - 0.09992839422047822im,-0.04539714271427416 + 0.9519715636022013im,0.19834708738979426 + 0.3252373718466185im,-0.11407909834997441 - 0.1065837385025249im
-1.3013281332839028 - 0.5809446545513471im,1.9505502895735463 + 0.44417764904399215im,-0.5659848630874715 + 0.49688850989798045im,0.2987949508487182 + 0.13644624425533153im,0.3160942404032236 + 0.15641896964762567im,-1.347356156834514 - 0.03579141475399123im,-0.8526345823261335 + 1.0526556676006968im,0.5398872951131812 - 0.11383407848232477im,-0.39960990618029363 - 0.12252138347119898im,36.20666241446982 + 37.73889145461698im
0.3316896962519682 + 0.037987515122164896im,-0.8051932105399845 - 1.004037787003129im,0.8309857617197124 + 0.23377273960357822im,-0.24823118843790115 - 1.0550520200000488im,-0.22101230671885957 + 0.6235312989845071im,0.6511480299681163 - 1.0226353075163321im,-1.0957503036010756 - 0.6559813783396479im,-0.23398217392123913 + 1.372094473444162im,0.36137501368704356 - 0.3016735037239958im,15.566266181137554 - 19.940967256310696im
-0.7791246164516495 + 0.5581459296610075im,0.10212948543491053 + 0.40750240972942836im,-0.13062198831554306 + 0.8549773107374272im,0.6419890164142611 + 0.01743413276319055im,-0.4440165806166166 + 0.1501783710446101im,0.6040867481281132 + 0.5316869341341055im,-0.5755883740547827 - 0.8586057937356585im,-0.2554615242265286 + 1.0180381765388617im,0.3323559881560513 - 0.2317250451385738im,64.77195029304058 + 20.51455073685865im
-0.09380624587949009 - 0.9538146753914395im,-0.40397218164651527 - 0.11530447600264886im,0.8057430649156854 - 0.3143666951946192im,-0.30589610634125697 - 0.5646958635469304im,0.352066574731906 + 0.30944045299318607im,0.15841101775634234 - 0.7889979370355306im,-0.5755883740547827 - 0.8586057937356585im,-0.2554615242265286 + 1.0180381765388617im,0.3323559881560513 - 0.2317250451385738im,-50.15209723186466 + 45.83687903800673im
0.8729308623311397 + 0.395668745730432im,0.3018426962116047 - 0.29219793372677955im,-0.6751210766001423 - 0.540610615542808im,-0.3360929100730042 + 0.5472617307837399im,0.09195000588471058 - 0.4596188240377962im,-0.7624977658844556 + 0.257311002901425im,-0.5755883740547827 - 0.8586057937356585im,-0.2554615242265286 + 1.0180381765388617im,0.3323559881560513 - 0.2317250451385738im,-14.619853061175924 - 66.35142977486538im
-2.5689779449197867 - 4.978618142776614im,-9.794168755670487 + 0.21302037457492942im,-0.0403355712829614 - 0.1568812747954376im,3.1738429445197123 - 3.8543473642832646im,-5.057857774373596 - 8.841160059796122im,-6.504388907677331 + 0.8194508578202534im,-33.6597281044135 + 10.873327724808973im,84.03666846231711 + 38.35654025638947im,55.6407589420724 - 63.29346824680377im,1.1041957749176325e-9 - 5.98530694877744e-10im
-3.0271208149267723 + 4.714109233450794im,5.081565433740842 + 8.375488764075083im,0.15603095499241637 + 0.04350900799051608im,1.7510412602190508 + 4.675802299717719im,10.185598097894625 + 0.040346708561919666im,2.5425291938134 - 6.042691459052447im,-33.65972810441386 + 10.873327724809112im,84.03666846231783 + 38.35654025638992im,55.64075894207314 - 63.293468246804444im,-1.070440674167615e-9 - 6.569962443911948e-10im
5.596098759846542 + 0.26450890932583115im,4.712603321929678 - 8.58850913864993im,-0.11569538370945562 + 0.11337226680492145im,-4.924884204738757 - 0.8214549354344433im,-5.12774032352099 + 8.800813351234217im,3.961859713863955 + 5.223240601232158im,-33.6597281044135 + 10.873327724808973im,84.03666846231711 + 38.35654025638947im,55.6407589420724 - 63.29346824680377im,-3.375510074993732e-11 + 1.2555269392689859e-9im
-1.5109696020063814 - 1.2068257507358213im,2.123796751666641 + 0.8815765617122266im,0.743070881937276 - 0.47436059663056557im,-0.12405097910189153 - 1.4852428925109504im,0.056245509913809597 - 0.08813903018644365im,-1.8891970722037907 + 0.09612631410474205im,0.6560520416024155 - 1.172236795617839im,-0.3995705460666067 - 1.632058475950578im,-0.8790937709868571 - 0.07833786777868439im,44.82788211246067 - 32.55336159499677im
-0.28965695707525735 + 1.9119509350514996im,-0.29843067800959217 - 2.280050220274295im,0.03927288626777476 + 0.8806985588854712im,1.3482835652557092 + 0.6351901469889046im,0.04820788424947888 + 0.09277955552739042im,0.8613507061150264 - 1.6841558143360382im,0.6560520416024155 - 1.172236795617839im,-0.3995705460666067 - 1.632058475950578im,-0.8790937709868571 - 0.07833786777868439im,-50.60597917607825 - 22.545403909746582im
1.8006265590816388 - 0.7051251843156783im,-1.8253660736570485 + 1.3984736585620683im,-0.7823437682050508 - 0.40633796225490565im,-1.2242325861538177 + 0.8500527455220458im,-0.10445339416328848 - 0.004640525340946786im,1.0278463660887645 + 1.588029500231296im,0.6560520416024155 - 1.172236795617839im,-0.3995705460666067 - 1.632058475950578im,-0.8790937709868571 - 0.07833786777868439im,5.7780970636175795 + 55.098765504743355im
-1.1549263363632452 - 1.9856769464558355im,2.7454450706997644 - 1.3632710436178919im,-0.6266393019381176 - 0.257940290832968im,1.767235502569533 - 0.6376234352861682im,0.8893494634321492 + 1.0561254834663438im,0.18928147042119225 + 0.1158046609300134im,-0.026839704818314793 + 1.309400662737276im,1.331288383224417 - 1.1398690532599371im,2.394271445951082 + 4.177483406995613im,-0.00014993745766359024 + 0.00019036191035461266im
-2.974973803847193 - 4.45766904573295im,2.6514543351001043 + 5.985595304692008im,-8.268583451112663 - 5.401526705690275im,28.792006213626387 + 14.644029648991003im,-35.39784987689025 - 9.723443663955573im,15.984731766686107 + 1.0830579949207406im,-3.233508068705942 + 0.3494869523884824im,3.4021478153455846 - 0.929667621014889im,-1.2418301996786394 + 0.5083920120375162im,-3.4920536695781793e-7 - 1.6015350781020637e-7im
-1.1421835111582435 + 1.9930340200181795im,-2.5533498913667 - 1.6959896541118142im,0.5367024954899554 - 0.413715409071673im,-0.33141965827864184 + 1.8492825573380591im,-1.3593062299820504 + 0.2421364864411289im,-0.194930513452631 + 0.10602023138541859im,-0.026839704818314793 + 1.309400662737276im,1.331288383224417 - 1.1398690532599371im,2.394271445951082 + 4.177483406995613im,0.00023982697911182564 + 3.4668692138216573e-5im
-2.372967733344675 + 4.805237412591368im,3.857950423086084 - 5.289024463517072im,8.81215107190418 - 4.460039969130035im,-27.078104796611917 + 17.612593982424357im,26.11967416369749 - 25.79371540075703im,-8.930321620716251 + 13.301654785169907im,-3.233508068705942 + 0.3494869523884824im,3.4021478153455846 - 0.929667621014889im,-1.2418301996786394 + 0.5083920120375162im,3.5905677210080764e-8 + 3.8249747282844055e-7im
2.297109847521489 - 0.007357073562344132im,-0.19209517933306436 + 3.059260697729706im,0.08993680644816211 + 0.671655699904641im,-1.4358158442908913 - 1.211659122051891im,0.4699567665499013 - 1.2982619699074727im,0.005649043031438746 - 0.22182489231543198im,-0.026839704818314793 + 1.309400662737276im,1.331288383224417 - 1.1398690532599371im,2.394271445951082 + 4.177483406995613im,-8.988952144823543e-5 - 0.00022503060249282923im
5.3479415371918675 - 0.3475683668584177im,-6.5094047581861885 - 0.6965708411749358im,-0.543567620791517 + 9.86156667482031im,-1.713901417014469 - 32.25662363141536im,9.278175713192757 + 35.5171590647126im,-7.054410145969854 - 14.384712780090648im,-3.233508068705942 + 0.3494869523884824im,3.4021478153455846 - 0.929667621014889im,-1.2418301996786394 + 0.5083920120375162im,3.132996897477372e-7 - 2.2234396501823419e-7im
-1.9950164723088557 - 3.480851488498391im,3.248067293372392 + 3.7792803736309986im,-0.4771311184618718 - 0.7207183912752193im,3.6703699630904634 + 1.4904602037262977im,-2.186790526578882 + 1.2720080148994928im,-1.22523980181538 - 3.2280469486192054im,-3.207397009065137 + 1.0687141571265601im,-0.6654323608195871 - 3.7427842147781525im,0.40027185643918683 + 3.247494188883828im,-0.00015864467945213498 - 3.827474280252474e-5im
4.012014051994911 + 0.012690798261312378im,-4.8969864582745855 + 0.9232686024463553im,-0.385594876588057 + 0.773566865161673im,-0.5444085817885279 - 3.9238637311868425im,2.1949865180098165 + 1.257812141322715im,-2.1829507612053827 + 2.6751122684095328im,-3.207397009065137 + 1.0687141571265601im,-0.6654323608195871 - 3.7427842147781525im,0.40027185643918683 + 3.247494188883828im,0.00011246923931636952 - 0.00011825295117952568im
-2.0169975796860555 + 3.4681606902370787im,1.6489191649021937 - 4.702548976077354im,0.8627259950499288 - 0.05284847388645365im,-3.125961381301935 + 2.433403527460545im,-0.008195991430934513 - 2.529820156222208im,3.4081905630207627 + 0.5529346802096727im,-3.207397009065137 + 1.0687141571265601im,-0.6654323608195871 - 3.7427842147781525im,0.40027185643918683 + 3.247494188883828im,4.617544013576547e-5 + 0.00015652769398205043im
-4.529631500751758 + 1.336094297607771im,4.2775139521401195 - 1.5570374778161302im,0.2196668857286279 + 0.02108681413884484im,-0.07890459887683436 - 0.021564909717007783im,-1.0187417709208044 + 0.1203329469379868im,2.149210737919023 - 0.3960995555013389im,-1.4145298348152984 - 6.156273105405138im,-0.4326262565764106 + 6.372988227347411im,0.10618202632754703 + 0.6518254841921903im,-0.582045537987388 - 0.2538486268718494im
1.1077241467960228 - 4.590823098237139im,-0.7903229656368415 + 4.482954486503782im,-0.09157172613519342 - 0.2007805104806275im,0.020776539793170554 + 0.07911584196126353im,0.6135822744209437 + 0.8220897800447704im,-1.417637646451395 - 1.6632213193735035im,-1.4145298348152984 - 6.156273105405138im,-0.4326262565764106 + 6.372988227347411im,0.10618202632754703 + 0.6518254841921903im,0.5108621285805126 - 0.3771419086205338im
3.4219073539557345 + 3.2547288006293678im,-3.4871909865032777 - 2.9259170086876516im,-0.12809515959343445 + 0.17969369634178267im,0.058128059083663815 - 0.057550932244255754im,0.40515949649986077 - 0.9424227269827572im,-0.7315730914676276 + 2.0593208748748424im,-1.4145298348152984 - 6.156273105405138im,-0.4326262565764106 + 6.372988227347411im,0.10618202632754703 + 0.6518254841921903im,0.07118340940687536 + 0.6309905354923832im
-1.0614079498449267 + 2.7326512218074255im,-0.269655738008877 - 2.2532222758417393im,0.32281326325302184 + 0.06766552078517701im,0.638934775626607 + 1.6577331474485186im,-1.264488806572492 - 1.3655875303002805im,0.3533976499451802 + 0.7809029991302148im,-5.0185293784548355 + 0.9441396741963659im,7.74308242372754 + 0.5790659232904032im,-6.311595340181262 + 2.298604700130308im,0.00770108498354978 + 0.005216367773364518im
0.2999673320244185 + 0.02546307411474313im,-0.7726815264176586 - 0.9872339659187754im,0.5945290916610904 - 0.6084081067481303im,-0.9746826928885516 + 0.3111701856201752im,0.5211375647151789 + 0.3608708042625649im,0.38156693974194333 - 1.1429995985942305im,-0.6515802417499477 - 1.0711327419082193im,0.2581397881853009 + 1.3200289521525785im,0.2664353289738222 - 0.35174003814946625im,-37.66591620747415 - 3.1455548156997395im
-1.9976593733516337 + 3.623345478988724im,2.4744411526042676 - 3.1714660882133043im,-0.1971857866401252 + 0.25330126970681094im,3.1494477447752165 + 0.34636799509771093im,-1.7377310077184631 + 2.3978435120692im,-2.5281035943259 - 1.38448247948922im,-4.62541470820851 + 4.785714482572334im,-8.971926575263502 - 9.4850499211059im,8.538712124689825 - 1.3454401868965034im,-0.002359191909349754 + 0.0033344137697263448im
-0.3259040254669903 - 1.8267080363732424im,1.2123414815799973 + 1.9213888585505399im,-0.962555880440397 + 1.7861576241430968im,0.5864527369026062 - 4.070735998923956im,-0.07619539396210227 + 4.877023638336162im,-0.7907299447264587 - 2.23098257790299im,-2.0810534273551253 + 0.6345315053558193im,1.6918742434114575 - 1.0665783604288492im,-0.6670147534761129 + 0.6046594296597271im,0.02646700869973117 + 0.05108932232438495im
2.8972493526902787 - 0.44711936255924695im,-1.8165198622474954 + 1.360139857312798im,-0.22000669158677816 + 0.245731726263082im,-1.7551064061992552 - 0.2755328266703072im,1.8148778956175406 - 0.41228566414270507im,-0.8529806601108135 - 0.08440015707486104im,-5.0185293784548355 + 0.9441396741963659im,7.74308242372754 + 0.5790659232904032im,-6.311595340181262 + 2.298604700130308im,0.0006669645154412497 - 0.009277519119139235im
-0.12793199697039576 - 0.2725108668959594im,-0.46862893075569095 + 1.162778813872017im,0.22963233048173023 + 0.8190813500414564im,0.21786006079688489 - 0.9996850654805994im,-0.5730920663330923 + 0.27088296777841936im,0.799083219027048 + 0.9019464623579243im,-0.6515802417499477 - 1.0711327419082193im,0.2581397881853009 + 1.3200289521525785im,0.2664353289738222 - 0.35174003814946625im,16.10882772434462 + 34.192417700338495im
4.136738918167547 - 0.08164897406374466im,-3.9837907759357147 - 0.5571958542182903im,-0.12077244105688931 - 0.29741853534897206im,-1.8746873552001098 + 2.554317757318091im,-1.2077278918923937 - 2.7038409536627213im,2.4630487954950824 - 1.497160696340368im,-4.62541470820851 + 4.785714482572334im,-8.971926575263502 - 9.4850499211059im,8.538712124689825 - 1.3454401868965034im,0.004067282985986527 + 0.0003759132410364291im
-1.419023552062921 + 1.1955951834366454im,1.0578008212631542 - 2.0106129503852115im,-1.0655799374509805 - 1.726676657095029im,3.232134418716666 + 2.5432509677385466im,-4.185528668675276 - 2.504498965990625im,2.327452560227714 + 0.4306990692853167im,-2.0810534273551253 + 0.6345315053558193im,1.6918742434114575 - 1.0665783604288492im,-0.6670147534761129 + 0.6046594296597271im,0.03101114664518323 - 0.048465763058343415im
-1.835841402845352 - 2.2855318592481786im,2.0861756002563725 + 0.8930824185289411im,-0.10280657166624366 - 0.313397247048259im,1.1161716305726481 - 1.3822003207782114im,-0.5503890890450487 + 1.7778731944429855im,0.49958301016563333 - 0.6965028420553537im,-5.0185293784548355 + 0.9441396741963659im,7.74308242372754 + 0.5790659232904032im,-6.311595340181262 + 2.298604700130308im,-0.00836804949899103 + 0.004061151345774717im
-0.17203533505402277 + 0.24704779278121625im,1.2413104571733495 - 0.1755448479532415im,-0.8241614221428205 - 0.21067324329332615im,0.7568226320916667 + 0.6885148798604244im,0.051954501617913436 - 0.6317537720409843im,-1.1806501587689915 + 0.24105313623630614im,-0.6515802417499477 - 1.0711327419082193im,0.2581397881853009 + 1.3200289521525785im,0.2664353289738222 - 0.35174003814946625im,21.557088483129526 - 31.04686288463876im
-2.139079544815913 - 3.541696504924979im,1.5093496233314472 + 3.7286619424315943im,0.31795822769701454 + 0.04411726564216115im,-1.2747603895751065 - 2.900685752415802im,2.945458899610857 + 0.3059974415935216im,0.06505479883081738 + 2.881643175829588im,-4.62541470820851 + 4.785714482572334im,-8.971926575263502 - 9.4850499211059im,8.538712124689825 - 1.3454401868965034im,-0.001708091076636773 - 0.003710327010762774im
1.7449275775299113 + 0.6311128529365969im,-2.2701423028431518 + 0.08922409183467188im,2.0281358178913775 - 0.0594809670480678im,-3.818587155619272 + 1.5274850311854093im,4.261724062637378 - 2.372524672345537im,-1.5367226155012554 + 1.8002835086176734im,-2.0810534273551253 + 0.6345315053558193im,1.6918742434114575 - 1.0665783604288492im,-0.6670147534761129 + 0.6046594296597271im,-0.0574781553449144 - 0.00262355926604154im
2.297109847521489 + 0.007357073562344132im,-0.19209517933306436 - 3.059260697729706im,0.08993680644816211 - 0.671655699904641im,-1.4358158442908913 + 1.211659122051891im,0.4699567665499013 + 1.2982619699074727im,0.005649043031438746 + 0.22182489231543198im,-0.026839704818314793 - 1.309400662737276im,1.331288383224417 + 1.1398690532599371im,2.394271445951082 - 4.177483406995613im,-8.988952144823543e-5 + 0.00022503060249282923im
-2.8867599142264706 - 0.6192583162888081im,0.938695935007378 - 1.611627357375663im,0.07967036197339745 - 0.2862647369060148im,-1.1611108849324843 - 1.329289053099951im,0.439480706509465 - 1.4888162126835138im,-0.28661867172925626 + 0.2878792455530277im,1.9629031978091667 + 7.384645409701759im,-2.85646457928273 - 4.123251933853246im,1.474795480347427 - 7.088616348213285im,4.771598170647753e-5 + 3.585878000719029e-5im
0.48735085930442673 - 1.984058988420072im,0.0869691680199527 + 0.9220158414578404im,-0.19494433692727925 - 0.17224594331583795im,1.067492684236936 - 0.8015160490152075im,-1.0832076784511822 + 0.6002370955821829im,-0.32868967433182017 - 0.24566803327629805im,-2.3265834106561964 - 7.013788748551419im,1.714513279032434 + 2.830702930424173im,-2.5015822578957074 - 2.5071311918374968im,-0.021631339729049084 + 0.0007569673357578339im
0.6015800418957588 - 0.998255474119141im,-0.5711352648168586 - 0.0520385239888007im,0.08420699245203178 - 0.7194471482308895im,-0.10495789958917194 + 0.5865236174051792im,0.4483002131637875 + 0.20821794793848095im,-0.05395957467762251 - 0.7576083662416792im,-0.2953125562460566 + 0.06892280162530547im,-0.2281455772699589 - 0.42353688339711815im,0.33335567858300835 + 0.3092434962273642im,-11.580214168690363 - 10.521594363282398im
-4.5581828752279785 + 9.122059387040379im,4.091693454140834 - 8.904137690712046im,-0.05450454402649377 + 0.08190204771744217im,18.472900489872796 + 7.798421961720808im,-36.33419694581145 + 4.8261708778717525im,14.958450222605817 - 11.069580090191264im,-152.5737269526536 + 132.25304601587598im,136.33824066465166 - 346.5703630602958im,16.021576589580473 + 177.30738167076382im,7.00389045996682e-6 - 1.5873934852822834e-5im
-5.620843726393283 - 8.508531858562813im,5.665362711880722 + 7.995579321140483im,0.0981815259585171 + 0.006251295889909894im,-2.4828187166557014 - 19.897212086672248im,22.346685056147304 + 29.0532521422438im,-17.065762678634982 - 7.419607848925996im,-152.5737269526536 + 132.25304601587598im,136.33824066465166 - 346.5703630602958im,16.021576589580473 + 177.30738167076382im,1.0245285610580355e-5 + 1.4002514490066163e-5im
-4.822264438499211e-32 + 1.865622945549878e-31im,-0.7320508075688773 - 1.2679491924311228im,0.2041241452319315 + 0.7618016810571367im,0.950961894323342 + 0.549038105676658im,1.0606601717798212 - 0.284203036472259im,0.8169872981077807 - 1.4150635094610966im,1.4649815451125716 - 1.4649815451125716im,-8.594237523620822e-32 - 1.3923048454132638im,-0.9845081976706066 - 0.9845081976706066im,-0.12391486721229816 - 0.21462684582485123im
-3.346632390585296 - 0.7526859175193602im,2.761460263788462 + 0.7234452274837313im,0.08600152353488222 - 0.2286642152308316im,-2.016152356420557 - 1.5952152591072246im,-2.4419956249353825 + 0.6568759797887666im,1.696207946908231 + 0.5376891702310562im,6.531872390471426 + 9.923147889181786im,6.7647120656697926 - 4.620815241597481im,-1.8882588332398444 - 1.0304153577162423im,-0.4707529616318517 - 0.5289553821196568im
1.7392125759085693 - 0.5245170150802161im,-1.8843056666417317 - 0.6344912334534706im,4.174531983597082 + 1.3207515309052078im,-5.406911515737271 - 6.811301864124729im,3.7294606461418383 + 8.386456168852977im,0.3320064289190405 - 5.215662067651029im,-1.6685112545143064 - 1.082660501418674im,1.268994410724767 + 1.493995977437627im,-0.18042502747509914 - 0.9843111152352023im,0.002220784398023109 + 0.006250013453390967im
-1.1549263363632452 + 1.9856769464558355im,2.7454450706997644 + 1.3632710436178919im,-0.6266393019381176 + 0.257940290832968im,1.767235502569533 + 0.6376234352861682im,0.8893494634321492 - 1.0561254834663438im,0.18928147042119225 - 0.1158046609300134im,-0.026839704818314793 - 1.309400662737276im,1.331288383224417 + 1.1398690532599371im,2.394271445951082 - 4.177483406995613im,-0.00014993745766359024 - 0.00019036191035461266im
1.9796733905241217 - 2.190378262202305im,0.9263622654176157 + 1.6187482048334065im,-0.2877477153549763 + 0.07413581105534353im,-0.5706426464908773 + 1.6701960495121362im,-1.5090930150047905 + 0.3638066500314268im,0.39262007573584834 + 0.10427942813997532im,1.9629031978091622 + 7.384645409701755im,-2.856464579282723 - 4.123251933853244im,1.474795480347428 - 7.088616348213279im,-5.491260528818308e-5 + 2.3393862320728134e-5im
-0.415361228177632 + 1.7684607808583004im,1.4916383599700942 - 1.3146109590799764im,-0.9434616139474429 - 4.27562651215832im,-3.195304689307683 + 8.088173660705467im,5.398153766880477 - 7.4230357463996475im,-4.682899062600183 + 2.320305032161873im,-1.6685112545143064 - 1.082660501418674im,1.268994410724767 + 1.493995977437627im,-0.18042502747509914 - 0.9843111152352023im,-0.00652306262364264 - 0.0012017510216793385im
1.4745700569264242 + 1.4140877189238452im,-0.8419737254041515 - 0.38569041187764397im,-0.05169719414669046 + 0.2549497197608557im,-1.227879602106571 - 0.5237177583956232im,1.0614244122935497 + 0.6379668193219981im,-0.048409920549124845 + 0.4074876245711392im,-2.3265834106561964 - 7.013788748551419im,1.714513279032434 + 2.830702930424173im,-2.5015822578957074 - 2.5071311918374968im,0.010160116921923234 - 0.01911177339112702im
0.5637245791061759 + 1.0201113357510045im,0.3306343161581766 - 0.4685983863341519im,-0.6651630032742349 + 0.2867981794757008im,0.560423302387016 - 0.20236560133051043im,-0.04382807414330354 - 0.49234834709105946im,-0.6291283039461079 + 0.42553454556906417im,-0.2953125562460566 + 0.06892280162530547im,-0.2281455772699589 - 0.42353688339711815im,0.33335567858300835 + 0.3092434962273642im,14.902075091262894 - 4.767962469709149im
-1.961920916230851 + 0.5699712694962267im,0.7550045573841988 - 0.5363254295801965im,0.24664153107396972 - 0.0827037764450177im,0.16038691786963483 + 1.3252338074108307im,0.021783266157632555 - 1.2382039149041808im,0.377099594880945 - 0.16181959129484116im,-2.3265834106561964 - 7.013788748551419im,1.714513279032434 + 2.830702930424173im,-2.5015822578957074 - 2.5071311918374968im,0.011471222807125852 + 0.018354806055369186im
-1.1653046210019347 - 0.02185586163186354im,0.24050094865868196 + 0.5206369103229526im,0.5809560108222032 + 0.43264896875518877im,-0.45546540279784403 - 0.3841580160746688im,-0.4044721390204839 + 0.2841303991525785im,0.6830878786237303 + 0.332073820672615im,-0.2953125562460566 + 0.06892280162530547im,-0.2281455772699589 - 0.42353688339711815im,0.33335567858300835 + 0.3092434962273642im,-3.321860922572532 + 15.289556832991547im
10.179026601621262 - 0.6135275284775656im,-9.757056166021556 + 0.9085583695715631im,-0.04367698193202334 - 0.08815334360735207im,-15.990081773217096 + 12.098790124951439im,13.98751188966414 - 33.87942302011555im,2.1073124560291645 + 18.48918793911726im,-152.5737269526536 + 132.25304601587598im,136.33824066465166 - 346.5703630602958im,16.021576589580473 + 177.30738167076382im,-1.724917607054718e-5 + 1.8714203627566757e-6im
-4.869505777125309e-31 - 3.534405696641555e-31im,1.4641016151377546 + 2.37152338305797e-31im,0.5576775358252053 - 0.5576775358252053im,5.172577347631379e-32 - 1.098076211353316im,-0.7764571353075623 - 0.7764571353075623im,-1.6339745962155614 - 1.860086170300014e-31im,1.4649815451125716 - 1.4649815451125716im,2.083091064208511e-32 - 1.3923048454132638im,-0.9845081976706066 - 0.9845081976706066im,0.24782973442459633 + 4.866200313116119e-32im
2.3251613209352127 - 2.5219257086150324im,-2.0072520771417546 + 2.02977212624022im,-0.24102978109377382 + 0.03985260347004252im,-0.37342076068115376 + 2.5436467881136724im,1.7898690981005565 + 1.7863922572301139im,-0.3824514926942453 - 1.7378037572391025im,6.531872390471426 + 9.923147889181786im,6.7647120656697926 - 4.620815241597481im,-1.8882588332398444 - 1.0304153577162423im,0.6934652792000536 - 0.1432063326201163im
-1.981659454537053e-31 - 5.806267786039417e-32im,-0.7320508075688773 + 1.2679491924311228im,-0.7618016810571367 - 0.2041241452319315im,-0.950961894323342 + 0.549038105676658im,-0.284203036472259 + 1.0606601717798212im,0.8169872981077807 + 1.4150635094610966im,1.4649815451125716 - 1.4649815451125716im,1.4387366782672994e-31 - 1.3923048454132638im,-0.9845081976706066 - 0.9845081976706066im,-0.12391486721229816 + 0.21462684582485123im
